BioProject,BioSample,Organism,sex,Submitter_Id,Ecotype,Site,Site_Type,Year,refGenome,refSpecies
PRJNA431202,SAMN08465480,Athene_cunicularia,female,BO15-139,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465482,Athene_cunicularia,female,BO15-123,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465586,Athene_cunicularia,female,BO15-173,C1_rural_2012,C1,rural,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465588,Athene_cunicularia,female,BO15-174,C1_rural_2012,C1,rural,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465590,Athene_cunicularia,female,BO15-152,C1_rural_2012,C1,rural,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465592,Athene_cunicularia,male,BO15-143,C1_rural_2013,C1,rural,2013,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465557,Athene_cunicularia,female,BO15-078,C3_urban_2012,C3,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465559,Athene_cunicularia,female,BO15-047,C3_urban_2012,C3,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465560,Athene_cunicularia,female,BO15-048,C3_urban_2012,C3,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465478,Athene_cunicularia,female,BO15-137,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465522,Athene_cunicularia,female,BO15-097,B_urban_2014,B,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465486,Athene_cunicularia,female,BO15-108,A_urban_2014,A,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465538,Athene_cunicularia,male,BO15-045,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465567,Athene_cunicularia,male,BO15-234,B_rural_2015,B,rural,2015,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465561,Athene_cunicularia,female,BO15-049,C3_urban_2012,C3,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465528,Athene_cunicularia,female,BO15-063,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465516,Athene_cunicularia,male,BO15-098,B_urban_2014,B,urban,2014,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465524,Athene_cunicularia,male,BO15-055,C1_urban_2012,C1,urban,2012,GCF_003259725.1,Athene_cunicularia
PRJNA431202,SAMN08465468,Athene_cunicularia,male,BO15-122,A_rural_2014,A,rural,2014,GCF_003259725.1,Athene_cunicularia
