BioSample,SampleName1,SampleName2,BioProject,Organism,sex,Submitter_Id,refGenome
SAMEA2661431,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__2-sc-2016960,GCF_900246225.1
SAMEA2661432,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__3-sc-2016961,GCF_900246225.1
SAMEA2661433,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__4-sc-2016962,GCF_900246225.1
SAMEA2661434,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__5-sc-2016963,GCF_900246225.1
SAMEA2661435,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__6-sc-2016964,GCF_900246225.1
SAMEA2661436,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__7-sc-2016965,GCF_900246225.1
SAMEA2661437,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__8-sc-2016966,GCF_900246225.1
SAMEA2661438,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__9-sc-2016967,GCF_900246225.1
SAMEA2661439,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__10-sc-2016968,GCF_900246225.1
SAMEA2661440,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__11-sc-2016969,GCF_900246225.1
SAMEA2661442,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__13-sc-2016971,GCF_900246225.1
SAMEA2661443,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__14-sc-2016972,GCF_900246225.1
SAMEA2661444,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__15-sc-2016973,GCF_900246225.1
SAMEA2661445,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__16-sc-2016974,GCF_900246225.1
SAMEA2661446,Lake Itamba,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__17-sc-2016975,GCF_900246225.1
SAMEA2661249,NA,Outgroup,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__rujewa_-sc-2016559,GCF_900246225.1
SAMEA2661302,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__6-sc-2016819,GCF_900246225.1
SAMEA2661332,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__36-sc-2016849,GCF_900246225.1
SAMEA2661340,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__8-sc-2016857,GCF_900246225.1
SAMEA2661348,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__16-sc-2016865,GCF_900246225.1
SAMEA2661441,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_yellow__12-sc-2016970,GCF_900246225.1
SAMEA2661447,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__22-sc-2016976,GCF_900246225.1
SAMEA2661448,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__24-sc-2016977,GCF_900246225.1
SAMEA2661449,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__25-sc-2016978,GCF_900246225.1
SAMEA2661450,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__26-sc-2016979,GCF_900246225.1
SAMEA2661451,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__27-sc-2016980,GCF_900246225.1
SAMEA2661311,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__15-sc-2016828,GCF_900246225.1
SAMEA2661364,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__32-sc-2016881,GCF_900246225.1
SAMEA2661372,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__2-sc-2016889,GCF_900246225.1
SAMEA2661401,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__20-sc-2016930,GCF_900246225.1
SAMEA2661416,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Itamba_blue__2-sc-2016945,GCF_900246225.1
SAMEA2661323,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__27-sc-2016840,GCF_900246225.1
SAMEA2661356,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__24-sc-2016873,GCF_900246225.1
SAMEA2661361,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__29-sc-2016878,GCF_900246225.1
SAMEA2661360,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__28-sc-2016877,GCF_900246225.1
