Sample_name,Species,Lake,Sampling_Year,BioProject,BioSample,Organism,sex
Apo_zal_d_lim_18026,Amphilophus zaliosus,CL Apoyo,2014,PRJEB38173,SAMEA6815769,Amphilophus_citrinellus,missing
Apo_zal_d_lim_18031,Amphilophus zaliosus,CL Apoyo,2014,PRJEB38173,SAMEA6815770,Amphilophus_citrinellus,missing
Apo_zal_d_lim_18413,Amphilophus zaliosus,CL Apoyo,2014,PRJEB38173,SAMEA6815771,Amphilophus_citrinellus,missing
Apo_zal_d_lim_19349,Amphilophus zaliosus,CL Apoyo,2015,PRJEB38173,SAMEA6815772,Amphilophus_citrinellus,missing
Apo_zal_d_lim_19352,Amphilophus zaliosus,CL Apoyo,2015,PRJEB38173,SAMEA6815773,Amphilophus_citrinellus,missing
AsL_cit_d_nlp_02325,Amphilophus cf. citrinellus,CL As. León,2013,PRJEB38173,SAMEA6815774,Amphilophus_citrinellus,missing
AsL_cit_d_nlp_02326,Amphilophus cf. citrinellus,CL As. León,2013,PRJEB38173,SAMEA6815775,Amphilophus_citrinellus,missing
AsL_cit_d_nlp_02327,Amphilophus cf. citrinellus,CL As. León,2013,PRJEB38173,SAMEA6815776,Amphilophus_citrinellus,missing
AsL_cit_d_nlp_02328,Amphilophus cf. citrinellus,CL As. León,2013,PRJEB38173,SAMEA6815777,Amphilophus_citrinellus,missing
AsL_cit_d_nlp_02329,Amphilophus cf. citrinellus,CL As. León,2013,PRJEB38173,SAMEA6815778,Amphilophus_citrinellus,missing
AsL_cit_d_nlp_02331,Amphilophus cf. citrinellus,CL As. León,2013,PRJEB38173,SAMEA6815779,Amphilophus_citrinellus,missing
AsL_cit_d_nlp_02332,Amphilophus cf. citrinellus,CL As. León,2013,PRJEB38173,SAMEA6815780,Amphilophus_citrinellus,missing
AsL_cit_d_nlp_02333,Amphilophus cf. citrinellus,CL As. León,2013,PRJEB38173,SAMEA6815781,Amphilophus_citrinellus,missing
AsL_cit_d_nlp_02341,Amphilophus cf. citrinellus,CL As. León,2013,PRJEB38173,SAMEA6815782,Amphilophus_citrinellus,missing
AsL_cit_d_nlp_02343,Amphilophus cf. citrinellus,CL As. León,2013,PRJEB38173,SAMEA6815783,Amphilophus_citrinellus,missing
AsL_cit_d_nlp_02345,Amphilophus cf. citrinellus,CL As. León,2013,PRJEB38173,SAMEA6815784,Amphilophus_citrinellus,missing
AsL_cit_d_nlp_02346,Amphilophus cf. citrinellus,CL As. León,2013,PRJEB38173,SAMEA6815785,Amphilophus_citrinellus,missing
AsL_cit_d_nlp_02347,Amphilophus cf. citrinellus,CL As. León,2013,PRJEB38173,SAMEA6815786,Amphilophus_citrinellus,missing
AsL_cit_d_nlp_02351,Amphilophus cf. citrinellus,CL As. León,2013,PRJEB38173,SAMEA6815787,Amphilophus_citrinellus,missing
AsL_cit_d_nlp_02353,Amphilophus cf. citrinellus,CL As. León,2013,PRJEB38173,SAMEA6815788,Amphilophus_citrinellus,missing
AsL_cit_d_nlp_02355,Amphilophus cf. citrinellus,CL As. León,2013,PRJEB38173,SAMEA6815789,Amphilophus_citrinellus,missing
AsL_cit_d_nlp_02356,Amphilophus cf. citrinellus,CL As. León,2013,PRJEB38173,SAMEA6815790,Amphilophus_citrinellus,missing
AsL_cit_g_nlp_00122,Amphilophus cf. citrinellus,CL As. León,2007,PRJEB38173,SAMEA6815791,Amphilophus_citrinellus,missing
AsL_cit_g_nlp_13291,Amphilophus cf. citrinellus,CL As. León,2010,PRJEB38173,SAMEA6815792,Amphilophus_citrinellus,missing
AsL_cit_g_nlp_13323,Amphilophus cf. citrinellus,CL As. León,2010,PRJEB38173,SAMEA6815793,Amphilophus_citrinellus,missing
AsM_tol_d_mid_02394,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815794,Amphilophus_citrinellus,missing
AsM_tol_d_mid_02395,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815795,Amphilophus_citrinellus,missing
AsM_tol_d_mid_02396,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815796,Amphilophus_citrinellus,missing
AsM_tol_d_mid_02397,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815797,Amphilophus_citrinellus,missing
AsM_tol_d_mid_02398,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815798,Amphilophus_citrinellus,missing
AsM_tol_d_mid_02410,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815799,Amphilophus_citrinellus,missing
AsM_tol_d_mid_02411,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815800,Amphilophus_citrinellus,missing
AsM_tol_d_mid_02590,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815801,Amphilophus_citrinellus,missing
AsM_tol_d_sho_02375,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815802,Amphilophus_citrinellus,missing
AsM_tol_d_sho_02383,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815803,Amphilophus_citrinellus,missing
AsM_tol_d_sho_02388,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815804,Amphilophus_citrinellus,missing
AsM_tol_d_sho_02389,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815805,Amphilophus_citrinellus,missing
AsM_tol_d_sho_02391,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815806,Amphilophus_citrinellus,missing
AsM_tol_d_sho_02392,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815807,Amphilophus_citrinellus,missing
AsM_tol_d_sho_02591,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815808,Amphilophus_citrinellus,missing
AsM_tol_g_mid_02366,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815809,Amphilophus_citrinellus,missing
AsM_tol_g_sho_02368,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815810,Amphilophus_citrinellus,missing
AsM_tol_g_sho_02369,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815811,Amphilophus_citrinellus,missing
AsM_tol_g_sho_02370,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815812,Amphilophus_citrinellus,missing
AsM_tol_g_sho_02371,Amphilophus tolteca,CL As. Managua,2013,PRJEB38173,SAMEA6815813,Amphilophus_citrinellus,missing
Aye_cit_d_lip_00378,Amphilophus cf. citrinellus,CL Apoyeque,2007,PRJEB38173,SAMEA6815814,Amphilophus_citrinellus,missing
Aye_cit_d_lip_00678,Amphilophus cf. citrinellus,CL Apoyeque,2007,PRJEB38173,SAMEA6815815,Amphilophus_citrinellus,missing
Aye_cit_d_lip_00718,Amphilophus cf. citrinellus,CL Apoyeque,2007,PRJEB38173,SAMEA6815816,Amphilophus_citrinellus,missing
Aye_cit_d_lip_00945,Amphilophus cf. citrinellus,CL Apoyeque,2007,PRJEB38173,SAMEA6815817,Amphilophus_citrinellus,missing
Aye_cit_d_lip_00948,Amphilophus cf. citrinellus,CL Apoyeque,2007,PRJEB38173,SAMEA6815818,Amphilophus_citrinellus,missing
Aye_cit_d_lip_00954,Amphilophus cf. citrinellus,CL Apoyeque,2007,PRJEB38173,SAMEA6815819,Amphilophus_citrinellus,missing
Aye_cit_d_lip_00955,Amphilophus cf. citrinellus,CL Apoyeque,2007,PRJEB38173,SAMEA6815820,Amphilophus_citrinellus,missing
Aye_cit_d_lip_00973,Amphilophus cf. citrinellus,CL Apoyeque,2007,PRJEB38173,SAMEA6815821,Amphilophus_citrinellus,missing
Aye_cit_d_lip_00980,Amphilophus cf. citrinellus,CL Apoyeque,2007,PRJEB38173,SAMEA6815822,Amphilophus_citrinellus,missing
Aye_cit_d_lip_00999,Amphilophus cf. citrinellus,CL Apoyeque,2007,PRJEB38173,SAMEA6815823,Amphilophus_citrinellus,missing
Aye_cit_d_lip_01046,Amphilophus cf. citrinellus,CL Apoyeque,2007,PRJEB38173,SAMEA6815824,Amphilophus_citrinellus,missing
Aye_cit_d_lip_02432,Amphilophus cf. citrinellus,CL Apoyeque,2013,PRJEB38173,SAMEA6815825,Amphilophus_citrinellus,missing
Aye_cit_d_lip_02448,Amphilophus cf. citrinellus,CL Apoyeque,2013,PRJEB38173,SAMEA6815826,Amphilophus_citrinellus,missing
Aye_cit_d_lip_05114,Amphilophus cf. citrinellus,CL Apoyeque,2005,PRJEB38173,SAMEA6815827,Amphilophus_citrinellus,missing
Aye_cit_d_lip_07897,Amphilophus cf. citrinellus,CL Apoyeque,2014,PRJEB38173,SAMEA6815828,Amphilophus_citrinellus,missing
Aye_cit_d_lip_07903,Amphilophus cf. citrinellus,CL Apoyeque,2014,PRJEB38173,SAMEA6815829,Amphilophus_citrinellus,missing
Aye_cit_d_lip_17863,Amphilophus cf. citrinellus,CL Apoyeque,2015,PRJEB38173,SAMEA6815830,Amphilophus_citrinellus,missing
Aye_cit_d_lip_17875,Amphilophus cf. citrinellus,CL Apoyeque,2015,PRJEB38173,SAMEA6815831,Amphilophus_citrinellus,missing
Aye_cit_d_nlp_00654,Amphilophus cf. citrinellus,CL Apoyeque,2007,PRJEB38173,SAMEA6815832,Amphilophus_citrinellus,missing
