BioProject,BioSample,Isolate,Ecotype,Collection_date,lat_lon,Country,Continent,Locality
PRJNA668259,SAMN16492891,SMS48,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
PRJNA668259,SAMN16492868,SMS26,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
PRJNA668259,SAMN16492859,SMS17,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
PRJNA668259,SAMN16492858,SMS16,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
PRJNA668259,SAMN16492857,SMS15,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
PRJNA668259,SAMN16492587,ALI18,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492578,AI150,AI,2002,54.504526 N 8.230453 W,Ireland,Europe,Ireland:River Erne
PRJNA668259,SAMN16492564,AI136,AI,2002,54.504526 N 8.230453 W,Ireland,Europe,Ireland:River Erne
PRJNA668259,SAMN16492552,AI124,AI,2002,54.504526 N 8.230453 W,Ireland,Europe,Ireland:River Erne
PRJNA668259,SAMN16492538,AI110,AI,2002,54.504526 N 8.230453 W,Ireland,Europe,Ireland:River Erne
PRJNA668259,SAMN16492519,AES26,AES,2002,51.993503 N 2.174012 W,United Kingdom,Europe,United Kingdom: Severn river
PRJNA668259,SAMN16492513,AES20,AES,2002,51.993503 N 2.174012 W,United Kingdom,Europe,United Kingdom: Severn river
PRJNA668259,SAMN16492834,ATU57,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492830,ATU53,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492806,ATU31,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492791,ATU16,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492789,ATU14,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492786,ATU11,ATU,2002,37.012167 N 10.191194 E,Tunisia,Africa,Tunisia:Oued Medjerda
PRJNA668259,SAMN16492781,AST6,AST,2019,58.939666 N 11.176402 E,Sweden,Europe,Sweden:Stromsan
PRJNA668259,SAMN16492772,AST26,AST,2019,58.939666 N 11.176402 E,Sweden,Europe,Sweden:Stromsan
PRJNA668259,SAMN16492746,ASRI2,ASRI,2019,57.26626 N 12.106816 E,Sweden,Europe,Sweden:Ringhals
PRJNA668259,SAMN16492729,ASRI14,ASRI,2019,57.26626 N 12.106816 E,Sweden,Europe,Sweden:Ringhals
PRJNA668259,SAMN16492717,APM49,APM,1995,37.721472 N 8.782361 W,Portugal,Europe,Portugal:Mira river
PRJNA668259,SAMN16492713,APM45,APM,1995,37.721472 N 8.782361 W,Portugal,Europe,Portugal:Mira river
PRJNA668259,SAMN16492693,APM26,APM,1995,37.721472 N 8.782361 W,Portugal,Europe,Portugal:Mira river
PRJNA668259,SAMN16492692,APM25,APM,1995,37.721472 N 8.782361 W,Portugal,Europe,Portugal:Mira river
PRJNA668259,SAMN16492687,APM20,APM,1995,37.721472 N 8.782361 W,Portugal,Europe,Portugal:Mira river
PRJNA668259,SAMN16492682,APM15,APM,1995,37.721472 N 8.782361 W,Portugal,Europe,Portugal:Mira river
PRJNA668259,SAMN16492674,AMAR7,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492671,AMAR50,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492670,AMAR4,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492649,AMAR30,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492643,AMAR25,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492641,AMAR23,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492637,AMAR1,AMAR,NA,34.274454 N 6.566088 W,Morocco,Africa,Morocco:Oued Sebou
PRJNA668259,SAMN16492610,ALI40,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492620,ALI4,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492608,ALI39,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492598,ALI29,ALI,NA,55.5425 N 21.1219 E,Lithuania,Europe,Lithuania:Curonian Lagoon
PRJNA668259,SAMN16492449,AAF5,AAF,NA,47.498587 N 2.384849 W,France,Europe,France:Arzal
PRJNA668259,SAMN16492411,AAF15,AAF,NA,47.498587 N 2.384849 W,France,Europe,France:Arzal
PRJNA668259,SAMN16492898,SMS8,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
PRJNA668259,SAMN16492894,SMS50,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
PRJNA668259,SAMN16492892,SMS49,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
PRJNA668259,SAMN16492886,SMS43,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
PRJNA668259,SAMN16492883,SMS40,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
PRJNA668259,SAMN16492893,SMS4,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
PRJNA668259,SAMN16492875,SMS33,SMS,2002,58.588932 N 16.18397 E,Sweden,Europe,Sweden:Motala strom
