NW_020799352.1	QEEU01000343.1
NW_020799353.1	QEEU01000344.1
NW_020799354.1	QEEU01000345.1
NW_020799355.1	QEEU01000091.1
NW_020799356.1	QEEU01000346.1
NW_020799357.1	QEEU01000347.1
NW_020799358.1	QEEU01000348.1
NW_020799359.1	QEEU01000349.1
NW_020799360.1	QEEU01000350.1
NW_020799361.1	QEEU01000351.1
NW_020799362.1	QEEU01000352.1
NW_020799363.1	QEEU01000353.1
NW_020799364.1	QEEU01000354.1
NW_020799365.1	QEEU01000355.1
NW_020799366.1	QEEU01000092.1
NW_020799367.1	QEEU01000356.1
NW_020799368.1	QEEU01000357.1
NW_020799369.1	QEEU01000358.1
NW_020799370.1	QEEU01000359.1
NW_020799371.1	QEEU01000360.1
NW_020799372.1	QEEU01000361.1
NW_020799373.1	QEEU01000362.1
NW_020799374.1	QEEU01000363.1
NW_020799375.1	QEEU01000364.1
NW_020799376.1	QEEU01000365.1
NW_020799377.1	QEEU01000051.1
NW_020799378.1	QEEU01000093.1
NW_020799379.1	QEEU01000366.1
NW_020799380.1	QEEU01000367.1
NW_020799381.1	QEEU01000368.1
NW_020799382.1	QEEU01000369.1
NW_020799383.1	QEEU01000370.1
NW_020799384.1	QEEU01000371.1
NW_020799385.1	QEEU01000372.1
NW_020799386.1	QEEU01000373.1
NW_020799387.1	QEEU01000374.1
NW_020799388.1	QEEU01000375.1
NW_020799389.1	QEEU01000094.1
NW_020799390.1	QEEU01000376.1
NW_020799391.1	QEEU01000377.1
NW_020799392.1	QEEU01000378.1
NW_020799393.1	QEEU01000379.1
NW_020799394.1	QEEU01000380.1
NW_020799395.1	QEEU01000381.1
NW_020799396.1	QEEU01000382.1
NW_020799397.1	QEEU01000383.1
NW_020799398.1	QEEU01000384.1
NW_020799399.1	QEEU01000385.1
NW_020799400.1	QEEU01000095.1
NW_020799401.1	QEEU01000386.1
NW_020799402.1	QEEU01000387.1
NW_020799403.1	QEEU01000388.1
NW_020799404.1	QEEU01000389.1
NW_020799405.1	QEEU01000390.1
NW_020799406.1	QEEU01000391.1
NW_020799407.1	QEEU01000392.1
NW_020799408.1	QEEU01000393.1
NW_020799409.1	QEEU01000394.1
NW_020799410.1	QEEU01000395.1
NW_020799411.1	QEEU01000096.1
NW_020799412.1	QEEU01000396.1
NW_020799413.1	QEEU01000397.1
NW_020799414.1	QEEU01000398.1
NW_020799415.1	QEEU01000399.1
NW_020799416.1	QEEU01000400.1
NW_020799417.1	QEEU01000401.1
NW_020799418.1	QEEU01000402.1
NW_020799419.1	QEEU01000403.1
NW_020799420.1	QEEU01000404.1
NW_020799421.1	QEEU01000405.1
NW_020799422.1	QEEU01000097.1
NW_020799423.1	QEEU01000406.1
NW_020799424.1	QEEU01000407.1
NW_020799425.1	QEEU01000408.1
NW_020799426.1	QEEU01000409.1
NW_020799427.1	QEEU01000410.1
NW_020799428.1	QEEU01000411.1
NW_020799429.1	QEEU01000412.1
NW_020799430.1	QEEU01000413.1
NW_020799431.1	QEEU01000414.1
NW_020799432.1	QEEU01000415.1
NW_020799433.1	QEEU01000098.1
NW_020799434.1	QEEU01000416.1
NW_020799435.1	QEEU01000417.1
NW_020799436.1	QEEU01000418.1
NW_020799437.1	QEEU01000419.1
NW_020799438.1	QEEU01000420.1
NW_020799439.1	QEEU01000421.1
NW_020799440.1	QEEU01000422.1
NW_020799441.1	QEEU01000423.1
NW_020799442.1	QEEU01000424.1
NW_020799443.1	QEEU01000425.1
NW_020799444.1	QEEU01000099.1
NW_020799445.1	QEEU01000426.1
NW_020799446.1	QEEU01000427.1
NW_020799447.1	QEEU01000428.1
NW_020799448.1	QEEU01000429.1
NW_020799449.1	QEEU01000430.1
NW_020799450.1	QEEU01000431.1
NW_020799451.1	QEEU01000432.1
NW_020799452.1	QEEU01000433.1
NW_020799453.1	QEEU01000434.1
NW_020799454.1	QEEU01000435.1
NW_020799455.1	QEEU01000100.1
NW_020799456.1	QEEU01000436.1
NW_020799457.1	QEEU01000437.1
NW_020799458.1	QEEU01000438.1
NW_020799459.1	QEEU01000439.1
NW_020799460.1	QEEU01000440.1
NW_020799461.1	QEEU01000441.1
NW_020799462.1	QEEU01000442.1
NW_020799463.1	QEEU01000443.1
NW_020799464.1	QEEU01000444.1
NW_020799465.1	QEEU01000445.1
NW_020799466.1	QEEU01000101.1
NW_020799467.1	QEEU01000102.1
NW_020799468.1	QEEU01000058.1
NW_020799469.1	QEEU01000103.1
NW_020799470.1	QEEU01000104.1
NW_020799471.1	QEEU01000105.1
NW_020799472.1	QEEU01000106.1
NW_020799473.1	QEEU01000107.1
NW_020799474.1	QEEU01000108.1
NW_020799475.1	QEEU01000109.1
NW_020799476.1	QEEU01000110.1
NW_020799477.1	QEEU01000111.1
