BioProject,BioSample,Organism,sex,Country,Continent,Submitter_Id,Population,Sample,Locality,Organism.x,Organism.y,refGenome,refSpecies
PRJEB11502,SAMEA3638001,Ficedula_albicollis,male,Sweden,Europe,u003,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638017,Ficedula_albicollis,male,Sweden,Europe,u004,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3637999,Ficedula_albicollis,male,Sweden,Europe,u005,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638002,Ficedula_albicollis,male,Sweden,Europe,u007,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638013,Ficedula_albicollis,male,Sweden,Europe,u010,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638012,Ficedula_albicollis,male,Sweden,Europe,u011,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638019,Ficedula_albicollis,male,Sweden,Europe,u012,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638011,Ficedula_albicollis,male,Sweden,Europe,u013,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638020,Ficedula_albicollis,male,Sweden,Europe,u014,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638000,Ficedula_albicollis,male,Sweden,Europe,u016,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638009,Ficedula_albicollis,male,Sweden,Europe,u017,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638008,Ficedula_albicollis,male,Sweden,Europe,u018,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638005,Ficedula_albicollis,male,Sweden,Europe,u019,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3637987,Ficedula_albicollis,male,Sweden,Europe,u021,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3637998,Ficedula_albicollis,male,Sweden,Europe,u022,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638021,Ficedula_albicollis,male,Sweden,Europe,u023,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3637990,Ficedula_albicollis,male,Sweden,Europe,u024,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638016,Ficedula_albicollis,male,Sweden,Europe,u025,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3637995,Ficedula_albicollis,male,Sweden,Europe,u026,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638014,Ficedula_albicollis,male,Sweden,Europe,u028,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638003,Ficedula_albicollis,male,Sweden,Europe,u029,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638018,Ficedula_albicollis,male,Sweden,Europe,u030,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638004,Ficedula_albicollis,male,Sweden,Europe,u032,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3637993,Ficedula_albicollis,male,Sweden,Europe,u036,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3637992,Ficedula_albicollis,male,Sweden,Europe,u037,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3637997,Ficedula_albicollis,male,Sweden,Europe,u038,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3637996,Ficedula_albicollis,male,Sweden,Europe,u040,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3637988,Ficedula_albicollis,male,Sweden,Europe,u041,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3637991,Ficedula_albicollis,male,Sweden,Europe,u042,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3637994,Ficedula_albicollis,male,Sweden,Europe,u043,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638027,Ficedula_albicollis,male,Sweden,Europe,u101,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638040,Ficedula_albicollis,male,Sweden,Europe,u102,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638057,Ficedula_albicollis,male,Sweden,Europe,u103,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638023,Ficedula_albicollis,male,Sweden,Europe,u104,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638063,Ficedula_albicollis,male,Sweden,Europe,u105,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638048,Ficedula_albicollis,male,Sweden,Europe,u107,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638053,Ficedula_albicollis,male,Sweden,Europe,u108,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638059,Ficedula_albicollis,male,Sweden,Europe,u109,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638067,Ficedula_albicollis,male,Sweden,Europe,u110,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638024,Ficedula_albicollis,male,Sweden,Europe,u112,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638038,Ficedula_albicollis,male,Sweden,Europe,u114,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638031,Ficedula_albicollis,male,Sweden,Europe,u115,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
