Organism	BioProject.popgen	bioproject.orig	fastq2vcf	ref_genome	publication
Cyanistes cyanus	NA	NA	y	Pmajor	seq by AJS
Gambusia affinis	NA	SRR5601729	y	Preticulata	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5982815/
Poecilia latipinna	NA	PRJNA196862	y	Preticulata	https://www.nature.com/articles/s41559-018-0473-y
Phylloscopus collybita	NA	PRJEB21643	y	Ptrochilus	https://www.ncbi.nlm.nih.gov/pubmed/29054864
Phylloscopus tristis	NA	PRJEB21643	y	Ptrochilus	https://www.ncbi.nlm.nih.gov/pubmed/29054864
Phylloscopus trochilus	NA	PRJNA319295	y	Ptrochilus	https://onlinelibrary.wiley.com/doi/abs/10.1002/evl3.15
Setophaga coronata coronata	NA	PRJNA325157	y	Scoronata	https://www.ncbi.nlm.nih.gov/pubmed/27546575
Vermivora chrysoptera	NA	PRJNA325126	y	Scoronata	https://www.ncbi.nlm.nih.gov/pubmed/27546575
Vermivora cyanoptera	NA	PRJNA325126	y	Scoronata	https://www.ncbi.nlm.nih.gov/pubmed/27546575
Parkesia noveboracensis	NA	NA	y	Setophaga coronata coronata	seq by AJS
Poephila acuticauda	NA	PRJEB10586	y	Tguttata	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4864528/
Taeniopygia bichenovii	NA	PRJEB10586	y	Tguttata	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4864528/
Taeniopygia guttata	NA	PRJEB10586	y	Tguttata	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4864528/
Takifugu bimaculatus	NA	PRJNA522329	y	Trubripes	https://dx.doi.org/10.21203/rs.2.16620/v1
