Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN05930508 	 8935226 	 98.68 	 0.008502526964622942 	 90.45 	 0.917449502176847 	 8834602
SAMN05930509 	 12942385 	 98.6 	 0.008710991057676 	 90.28 	 0.9319227949020228 	 12798366
SAMN05930453 	 12381231 	 98.6 	 0.008790402182141662 	 90.34 	 0.9327625200068482 	 12247642
SAMN05930504 	 11423925 	 98.68 	 0.011914731583059238 	 90.45 	 0.9469392675070659 	 11296726
SAMN05930505 	 5545572 	 98.64 	 0.008204563929563983 	 90.34 	 0.9553274575732761 	 5485282
SAMN05930410 	 4567736 	 98.67 	 0.006712515784625031 	 90.54 	 0.9535924939427445 	 4517448
SAMN05930409 	 7090472 	 98.68 	 0.008934243023595608 	 90.43 	 0.9409555543687619 	 7012364
SAMN05930408 	 7634836 	 98.67 	 0.005562922373185226 	 90.38 	 0.9369303329275198 	 7551220
SAMN05930406 	 8348949 	 98.6 	 0.014013979484124289 	 90.02 	 0.9569092866853715 	 8257664
SAMN05930405 	 6086634 	 98.65 	 0.007870359873782455 	 90.45 	 0.9511398891533511 	 6020550
SAMN05930404 	 9288846 	 98.69 	 0.008139762463496542 	 90.55 	 0.9596753909814395 	 9187794
SAMN05930403 	 72111858 	 93.46 	 0.022706279458227244 	 85.84 	 0.9558728252330488 	 71355092
SAMN05930627 	 104503317 	 96.43 	 0.05269249013406914 	 89.17 	 0.9330593246664577 	 103205356
SAMN05930628 	 77352209 	 95.49 	 0.046367984138630094 	 88.31 	 0.9351233117408664 	 76458276
SAMN05930633 	 124767342 	 96.69 	 0.05181403159169649 	 89.74 	 0.9355081197848484 	 123285264
SAMN05930635 	 77788560 	 95.83 	 0.0488048114015737 	 88.52 	 0.9488272419675935 	 76899666
SAMN05930636 	 87480559 	 95.8 	 0.04988262592149188 	 89.03 	 0.9431650562575332 	 86438346
SAMN05930629 	 82688774 	 93.74 	 0.03821002352749842 	 87.36 	 0.9511285981449243 	 81800902
SAMN05930630 	 55670963 	 93.7 	 0.03782551776587734 	 86.88 	 0.9569546136647027 	 55069626
SAMN05930631 	 60859040 	 94.6 	 0.04035623959891579 	 87.24 	 0.9408824844974523 	 60219328
SAMN05930632 	 73351891 	 94.42 	 0.03204440905279456 	 87.28 	 0.9117258056635668 	 72551624
SAMN05930683 	 7203315 	 98.62 	 0.01427440005053229 	 90.17 	 0.9512465209671671 	 7121294
SAMN05930685 	 4636896 	 98.66 	 0.014714800590740013 	 90.52 	 0.9662460631647097 	 4584768
SAMN05930686 	 7068626 	 98.64 	 0.016027584427298885 	 90.06 	 0.9528035999666307 	 6989832
