BioSample,SampleName1,SampleName2,BioProject,Organism,sex,Submitter_Id,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
SAMEA2661395,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__14-sc-2016924,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,1997255,0.0401126,23560429,8.92803,0.0279342,-0.0543797,-0.00175386,0.00158523,9.0037e-4,0.00162777,0.0154027,-3.14761e-4,-1.45326e-4,-1.26354e-4,cluster_3,outgroup,NA
SAMEA2661413,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__11-sc-2016942,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2195638,0.0440969,23559320,6.28894,0.0276662,-0.0464401,5.93297e-4,8.00607e-4,-7.27179e-4,-0.00117372,-0.00380437,1.89217e-4,1.17832e-4,2.68206e-4,cluster_3,outgroup,NA
SAMEA2661408,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__6-sc-2016937,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2207437,0.0443339,23558621,6.48052,0.0278809,-0.0504911,-0.00145426,0.00226716,-2.49478e-4,9.82566e-5,0.00795386,1.60453e-4,4.09687e-4,6.56991e-5,cluster_3,outgroup,NA
SAMEA2661323,NA,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_littoral__27-sc-2016840,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2215216,0.0444901,23560406,5.90581,0.0274856,-0.0459513,3.75832e-4,8.88766e-5,5.62613e-5,-4.67704e-4,-0.0041153,3.20115e-4,3.65992e-4,-5.19232e-4,cluster_3,outgroup,NA
SAMEA2661409,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__7-sc-2016938,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2221802,0.0446224,23559707,6.50781,0.0275777,-0.046307,4.95082e-4,-3.64818e-4,6.41947e-6,2.89912e-4,-0.00635079,7.66299e-5,5.77661e-4,6.46104e-5,cluster_3,outgroup,NA
SAMEA2661342,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__10-sc-2016859,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2223549,0.0446575,23559068,6.83136,0.0279666,-0.0553115,-0.00168222,0.0013423,6.57334e-4,0.00209225,0.0168245,-3.80268e-4,5.58229e-4,5.00256e-5,cluster_3,outgroup,NA
SAMEA2661411,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__9-sc-2016940,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2237875,0.0449452,23559064,6.12869,0.0275842,-0.0477861,1.82129e-4,7.58616e-5,3.00781e-4,-2.81465e-4,-0.00249255,1.46144e-4,-2.53093e-4,-5.07903e-4,cluster_3,outgroup,NA
SAMEA2661414,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__12-sc-2016943,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2272508,0.0456407,23558987,6.11489,0.0277133,-0.0476206,-4.59547e-4,8.88504e-4,2.1045e-4,4.7666e-4,-0.00154937,9.78523e-6,1.98202e-4,-5.75489e-5,cluster_3,outgroup,NA
SAMEA2661412,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__10-sc-2016941,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2272835,0.0456473,23559524,6.20627,0.0276408,-0.0465251,1.29339e-4,9.67329e-4,2.95649e-4,-4.74976e-5,-0.00199946,5.835e-4,5.10677e-4,-2.09468e-4,cluster_3,outgroup,NA
SAMEA2661366,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__34-sc-2016883,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2284416,0.0458799,23559477,7.10242,0.0279655,-0.0536773,-8.80841e-4,0.00140396,2.26955e-4,-4.58847e-4,0.0151861,-3.99722e-4,5.72894e-5,7.44592e-4,cluster_3,outgroup,NA
SAMEA2661359,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__27-sc-2016876,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2314388,0.0464819,23559650,6.70153,0.0279323,-0.0539108,-0.00137484,7.02552e-4,9.43737e-5,-2.04377e-4,0.0126878,3.80276e-4,-9.16398e-5,3.07196e-4,cluster_3,outgroup,NA
SAMEA2661358,Massoko benthic,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_benthic__26-sc-2016875,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2319231,0.0465791,23559039,6.88856,0.0279151,-0.0520288,-0.00175813,0.0013816,-2.33927e-4,-2.62842e-4,0.0114678,-1.58473e-4,3.51342e-4,6.84335e-4,cluster_3,outgroup,NA
SAMEA2661375,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_olive__5-sc-2016892,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2333279,0.0468613,23559280,5.80408,0.0278304,-0.0510214,-0.0011338400000000001,2.04751e-4,4.11208e-4,9.09473e-4,0.00463959,-5.07366e-5,1.0179e-4,5.07382e-4,cluster_3,outgroup,NA
SAMEA2661406,Massoko small,NA,PRJEB1254,Astatotilapia_spp,missing,Astatotilapia__Massoko_small_yellow__4-sc-2016935,GCF_900246225.1,Astatotilapia_calliptera,49791212,0,2346993,0.0471367,23559190,5.75979,0.0278027,-0.0483317,-0.00205953,6.91519e-4,4.26652e-5,1.90351e-4,0.00199366,-2.76269e-4,3.12113e-4,4.43758e-4,cluster_3,outgroup,NA
