BioProject,BioSample,Organism,sex,Submitter_Id,Location,State,Country,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA612146,SAMN14363245,Hippocampus_histrix,missing,Hht_21,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes,176537074,0,1383647,0.00783771,22212339,17.6236,-0.0149749,0.0140648,-0.0305759,0.0109392,0.161763,0.0785286,-0.0977382,0.0207944,-0.00218622,0.00170045,cluster_6,outgroup,NA
PRJNA612146,SAMN14363246,Hippocampus_histrix,missing,Hht_22,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes,176537074,0,1450369,0.00821566,22207179,16.0461,-0.0147643,0.0139608,-0.0302917,0.0107845,0.160891,0.078165,-0.0969084,0.0206471,-0.00223665,0.00136308,cluster_6,outgroup,NA
PRJNA612146,SAMN14363304,Hippocampus_kelloggi,missing,Hkg_18,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes,176537074,0,1479368,0.00837993,20045219,18.1598,0.0206368,-0.00729382,0.0029834,0.0279611,-0.0069832,-0.00100883,0.0302854,0.0746427,0.103406,-0.172323,cluster_7,outgroup,NA
PRJNA612146,SAMN14363306,Hippocampus_kelloggi,missing,Hkg_21,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes,176537074,0,1609474,0.00911692,20025233,12.8895,0.0205361,-0.00740169,0.00304281,0.0276591,-0.00684835,-0.0010076,0.0302136,0.074087,0.102366,-0.171296,cluster_7,outgroup,NA
PRJNA612146,SAMN14363124,Hippocampus_barbouri,missing,Hbb_12,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes,176537074,0,1677499,0.00950225,13547619,7.10991,-0.00981815,0.0103174,-0.0163945,8.92987e-4,0.0588252,0.00552334,0.143089,-0.085338,-0.00872015,0.00708263,cluster_6,outgroup,NA
PRJNA612146,SAMN14363201,Hippocampus_fuscus,missing,Hfc_48,Durban,NA,South Africa,GCF_001891065.1,Hippocampus_comes,176537074,0,1741451,0.00986451,28848244,35.7368,0.0359435,-0.0158903,0.00860905,0.0498022,-0.0291702,0.00264744,-0.0270828,-0.0296774,-0.0139386,0.0028907,cluster_5,outgroup,NA
PRJNA612146,SAMN14363292,Hippocampus_kelloggi,missing,Hkg_6,Colombo,NA,Sri Lanka,GCF_001891065.1,Hippocampus_comes,176537074,0,1784933,0.0101108,20008922,11.9604,0.0208078,-0.00764902,0.00325454,0.0277051,-0.00698523,-0.00100355,0.0308029,0.0753283,0.103812,-0.17651,cluster_10,outgroup,NA
PRJNA612146,SAMN14363357,Hippocampus_reidi,missing,Hrd_14,Fortaleza,NA,Brazil,GCF_001891065.1,Hippocampus_comes,176537074,0,1845023,0.0104512,23092149,20.6309,0.0402426,-0.017941,0.0103733,0.0547618,-0.0333042,0.00297726,-0.0322168,-0.0382822,-0.0180827,0.00170037,cluster_5,outgroup,7
PRJNA612146,SAMN14363295,Hippocampus_kelloggi,missing,Hkg_9,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes,176537074,0,1861871,0.0105466,19996903,11.2245,0.0204499,-0.00728531,0.00293191,0.0277095,-0.00677879,-9.42517e-4,0.0301592,0.0740601,0.102438,-0.170941,cluster_7,outgroup,NA
PRJNA612146,SAMN14363240,Hippocampus_histrix,missing,Hht_16,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes,176537074,0,1878938,0.0106433,22176122,11.3303,-0.0146136,0.0138229,-0.029995,0.010802,0.158754,0.0770714,-0.0948847,0.0204995,-0.00150254,0.00168794,cluster_6,outgroup,NA
