BioProject,BioSample,Organism,sex,Submitter_Id,Ecotype,Site,Site_Type,Year,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA431202,SAMN08465552,Athene_cunicularia,male,BO15-080,C3_urban_2012,C3,urban,2012,GCA_003259725.1,Athene_cunicularia,81093328,0,462097,0.00569834,23957035,15.6917,-0.00530872,0.0145218,0.0771572,0.0568996,-0.230521,-0.00784456,0.0369308,0.037733,0.111815,-0.0380271,cluster_2,ingroup,NA
PRJNA431202,SAMN08465500,Athene_cunicularia,female,BO15-102,A_urban_2014,A,urban,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,464579,0.00572894,23956816,15.4714,-0.0099315,-0.0812984,4.81605e-4,-0.2286,0.067287,0.0497506,-0.327396,0.236708,0.172924,-1.5699e-4,cluster_5,ingroup,7
PRJNA431202,SAMN08465557,Athene_cunicularia,female,BO15-078,C3_urban_2012,C3,urban,2012,GCA_003259725.1,Athene_cunicularia,81093328,0,466297,0.00575013,23957266,17.6871,-0.00563119,-0.07314,-0.0717435,-0.0107416,-0.00940122,-0.00490738,-0.0039837,-0.01704,-0.039859,-0.0163685,cluster_5,ingroup,NA
PRJNA431202,SAMN08465510,Athene_cunicularia,female,BO15-091,B_urban_2013,B,urban,2013,GCA_003259725.1,Athene_cunicularia,81093328,0,467057,0.0057595,23956818,15.5579,-0.010807,0.141738,-0.199957,-0.00215125,0.021844,-4.47428e-4,-0.0652465,-0.126308,0.124625,-0.00428091,cluster_1,exclude,1
PRJNA431202,SAMN08465579,Athene_cunicularia,female,BO17-009,B_rural_2016,B,rural,2016,GCA_003259725.1,Athene_cunicularia,81093328,0,468290,0.0057747,23960003,16.5864,-0.0057545,0.0339992,0.0748782,-7.98271e-4,-0.0250415,0.0122751,-0.00938453,0.00730119,-0.0746192,3.8448e-5,cluster_2,ingroup,NA
PRJNA431202,SAMN08465571,Athene_cunicularia,male,BO17-001,B_rural_2016,B,rural,2016,GCA_003259725.1,Athene_cunicularia,81093328,0,469902,0.00579458,23959962,15.9301,-0.00550047,0.0498281,0.0701977,0.00471344,-0.0212364,0.00793453,0.0110139,0.0369231,-0.115815,0.0187484,cluster_2,ingroup,NA
PRJNA431202,SAMN08465574,Athene_cunicularia,male,BO17-004,B_rural_2016,B,rural,2016,GCA_003259725.1,Athene_cunicularia,81093328,0,472272,0.00582381,23960412,16.5512,-0.00460775,0.032069,0.0722321,0.00489963,-0.0248317,0.00540173,0.00257725,0.0184214,-0.0522609,0.0204399,cluster_2,ingroup,NA
PRJNA431202,SAMN08465470,Athene_cunicularia,female,BO15-129,A_rural_2014,A,rural,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,478426,0.0058997,23960276,21.8304,-0.00609857,-0.0792396,-0.0566899,-0.0660892,0.022883,0.00799023,-0.0137619,-0.0160558,-0.0226809,-0.0218248,cluster_5,ingroup,NA
PRJNA431202,SAMN08465556,Athene_cunicularia,female,BO15-043,C3_urban_2012,C3,urban,2012,GCA_003259725.1,Athene_cunicularia,81093328,0,479188,0.00590909,23957065,13.5321,-0.00845399,-0.105719,-0.0331275,0.150554,0.104764,-0.0150829,-0.00947486,-0.0320848,0.0589071,0.0737012,cluster_5,ingroup,NA
PRJNA431202,SAMN08465553,Athene_cunicularia,female,BO15-079,C3_urban_2012,C3,urban,2012,GCA_003259725.1,Athene_cunicularia,81093328,0,484506,0.00597467,23956963,16.1785,-0.00810309,-0.0900191,-0.0386854,0.0953845,0.00476052,0.00164228,-0.00669452,-0.0275535,0.0415363,0.0482895,cluster_5,ingroup,NA
