BioProject,BioSample,Organism,sex,Country,Continent,Submitter_Id,Population,Sample,Locality,Organism.x,Organism.y,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJEB7359,SAMEA3174145,Ficedula_semitorquata,female,Bulgaria,Europe,FST_41,FST,41,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1206700,0.0101669,21316456,12.8091,-5.7176e-4,-0.204374,0.0519623,-0.0161392,2.73676e-4,0.00670932,0.0125977,0.0848005,-0.1185,0.0756304,cluster_8,outgroup,NA
PRJEB7359,SAMEA2785542,Ficedula_hypoleuca,male,Sweden,Europe,SP_15,SP,15,Uppsala,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1207646,0.0101748,34372289,22.7421,0.0888534,0.0290183,0.0378416,-0.00660304,-0.054705,0.0134148,7.05537e-4,-0.00226924,-0.0028685,-0.0101906,cluster_5,outgroup,NA
PRJEB7359,SAMEA3174131,Ficedula_semitorquata,female,Bulgaria,Europe,FST_19,FST,19,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1219075,0.0102711,21319617,10.3946,-1.40029e-4,-0.208343,0.0530398,-0.013999,7.64691e-4,0.00166657,-0.0021294,0.109444,-0.100026,-0.204826,cluster_8,outgroup,NA
PRJEB7359,SAMEA3174140,Ficedula_semitorquata,female,Bulgaria,Europe,FST_34,FST,34,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1221848,0.0102945,21318118,16.0496,-7.81383e-4,-0.209533,0.053493,-0.0106385,5.04232e-5,0.00199957,-0.00285826,0.138191,-0.0699948,0.285646,cluster_8,outgroup,NA
PRJEB7359,SAMEA3174136,Ficedula_semitorquata,female,Bulgaria,Europe,FST_24,FST,24,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1240762,0.0104539,21317421,13.6997,-7.63941e-4,-0.207528,0.0531442,-0.00889376,-0.00161082,0.00163528,0.030255,0.075738,-0.128479,0.0691801,cluster_8,outgroup,NA
PRJEB7359,SAMEA2785553,Ficedula_hypoleuca,male,Sweden,Europe,SP_SV5,SP,SV5,Uppsala,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1302932,0.0109777,34371275,18.4137,0.087227,0.028283,0.0371524,-0.00589002,-0.0531383,0.0152906,0.00149424,-0.00280488,0.00196324,-0.0134289,cluster_5,outgroup,NA
PRJEB7359,SAMEA2785550,Ficedula_hypoleuca,male,Sweden,Europe,SP_SV2,SP,SV2,Uppsala,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1326124,0.0111731,34370931,18.1349,0.0873171,0.0285378,0.0375216,-0.00747521,-0.0570091,0.0149181,-3.87379e-5,-0.00371366,-0.00300402,-9.79944e-4,cluster_5,outgroup,NA
PRJEB7359,SAMEA3167995,Ficedula_hypoleuca,male,Czech Republic,Europe,CZP_522960,CZP,522960,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1335803,0.0112546,34371956,22.5222,0.0883685,0.0289787,0.0381212,-0.00784854,-0.0715444,0.0206006,8.93388e-4,-9.56366e-4,0.00166727,-0.00547512,cluster_5,outgroup,NA
PRJEB7359,SAMEA2785539,Ficedula_hypoleuca,male,Sweden,Europe,SP_12,SP,12,Uppsala,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1342604,0.0113119,34370646,18.358,0.0872469,0.0284874,0.03727,-0.00757292,-0.0600755,0.0165432,0.0010798,-0.00165153,0.00243515,-0.0026272,cluster_5,outgroup,NA
PRJEB7359,SAMEA3172331,Ficedula_hypoleuca,male,Sweden,Europe,OP_CL7_5or6,OP,CL7_5or6,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1354818,0.0114148,34372001,20.0073,0.0879489,0.028963,0.0376562,-0.00670467,-0.0590574,0.0151609,0.00122216,-0.00227638,-0.00116065,-0.00701552,cluster_5,outgroup,NA
PRJEB7359,SAMEA3167985,Ficedula_hypoleuca,female,Czech Republic,Europe,CZP_312472,CZP,312472,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1358949,0.0114496,34368238,22.198,0.0876087,0.0282481,0.0373798,-0.0046541,-0.052985,0.0199232,-6.21953e-4,0.00297892,6.10855e-4,0.00260211,cluster_5,outgroup,NA
PRJEB7359,SAMEA2785552,Ficedula_hypoleuca,male,Sweden,Europe,SP_SV4,SP,SV4,Uppsala,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1380748,0.0116333,34370547,16.3808,0.0878681,0.0284397,0.0372784,-0.0067906,-0.0559156,0.013885,4.74913e-4,-0.00389748,-0.00218803,-0.00549688,cluster_5,outgroup,NA
PRJEB7359,SAMEA3172502,Ficedula_hypoleuca,male,Spain,Europe,E_M_40,E,M_40,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1391593,0.0117247,34372801,14.9118,0.0802074,0.0252553,0.0310125,0.0021882,0.192874,-0.0718633,1.33026e-4,-0.00237815,-0.00357929,-0.00397299,cluster_2,outgroup,NA
