BioProject,BioSample,Organism,sex,Locality,Province,Sample Name,Population,Continent,Country,Submitter_ID,Latitude,Longitude,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA274877,SAMN03333203,Parus_major,missing,Teshig,Mongolia,15078,MON,Asia,Mongolia,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,1767625,0.0353571,49986645,4.45732,-0.096148,-0.00844219,-0.00260378,0.0018806,0.00191281,0.00223937,-0.00257228,1.54079e-4,7.58841e-4,2.64148e-5,cluster_2,ingroup,NA
PRJNA274877,SAMN03333212,Parus_major,missing,Panjin,Liaoning,10635,CE,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,1774857,0.0355018,49978288,4.81857,0.154251,0.243327,0.243571,0.314896,0.125986,-0.0280536,-0.0386743,-0.242784,-0.395126,0.0486217,cluster_1,ingroup,NA
PRJNA274877,SAMN03333211,Parus_major,missing,Jixi,Anhui,10076,CE,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,1777747,0.0355596,49978662,4.89585,0.150831,0.204976,0.0924752,-0.192776,-0.106177,-0.0359794,-0.0258841,0.254625,0.205532,0.426355,cluster_1,ingroup,NA
PRJNA274877,SAMN03333218,Parus_major,missing,Sunan,Gansu,11944,CE,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,1886492,0.0377348,49976571,4.71017,0.16209,0.241107,-0.554342,0.133889,0.0360422,-0.137014,-0.0192789,0.0205499,7.42283e-4,-0.00158982,cluster_1,ingroup,NA
PRJNA274877,SAMN03333210,Parus_major,missing,Shenlongjia,Hubei,8236,CE,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,1893885,0.0378826,49977167,4.63178,0.152993,0.211164,0.118577,-0.237605,-0.117183,-0.0288386,0.0749675,0.0998753,-0.0377194,0.670773,cluster_1,ingroup,NA
PRJNA274877,SAMN03333196,Parus_major,missing,Lijiang,Yunnan,13938,EH,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,1904494,0.0380949,49978464,4.72916,0.187503,-0.174614,-0.0139439,-0.0942393,0.239967,-0.0199791,0.00894183,0.0199773,-0.0100727,0.0154114,cluster_3,ingroup,NA
PRJNA274877,SAMN03333189,Parus_major,missing,Yanbian,Sichuan,4000,EH,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,1952583,0.0390568,49975528,4.64066,0.183932,-0.157941,0.00908861,-0.0791471,0.174158,-0.0203659,0.0109561,0.0148014,-0.0103036,3.6629e-4,cluster_3,ingroup,NA
PRJNA274877,SAMN03333193,Parus_major,missing,Gaoligong,Yunnan,5332,EH,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,1985642,0.039718,49976402,4.91529,0.195082,-0.24202,-0.004789,0.21031,-0.429137,0.0415671,0.0221434,-0.0119065,0.00987331,0.0121014,cluster_3,ingroup,NA
PRJNA274877,SAMN03333217,Parus_major,missing,Sunan,Gansu,11929,CE,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,2056679,0.0411389,49976089,4.73906,0.162541,0.245867,-0.638085,0.153301,0.0202251,-0.141563,0.0208397,-0.0101087,0.0268867,0.00439934,cluster_1,ingroup,NA
PRJNA274877,SAMN03333194,Parus_major,missing,Gaoligong,Yunnan,5333,EH,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,2057503,0.0411554,49970758,4.58497,0.190815,-0.237356,0.00969965,0.204978,-0.38976,0.0172534,0.00534647,-0.00547355,0.00504168,0.0116297,cluster_3,ingroup,NA
