BioProject,BioSample,Organism,Submitter_Id,sex,Locality,Country,Longitude,Latitude,Continent,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJEB27649,SAMEA4785144,Passer_montanus,PM007,undetermined,Malta,Malta,"14°38'26.19"" E","35°94'58.39"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,778030,0.00818855,32325141,10.108,-0.305329,-0.0136909,-0.00399326,0.103038,-0.417093,0.348264,0.338354,0.0109274,0.558973,-0.364612,cluster_3,outgroup,NA
PRJEB27649,SAMEA4785104,Passer_hispaniolensis,KAZ14035,male,Chokpak,Kazahkstan,"70°34'18.9"" E","42°37'15.5"" N",Asia,GCA_001700915.1,Passer_domesticus,95014342,0,788473,0.00829846,37217146,13.2057,0.0219234,-0.100551,0.0806085,0.0014229,-1.67509e-4,5.68047e-4,5.98691e-4,-7.02589e-4,4.25937e-4,-2.42937e-4,cluster_1,outgroup,NA
PRJEB22939,SAMEA104363395,Passer_italiae,NA,male,Malta,Italy,NA,NA,Europe,GCA_001700915.1,Passer_domesticus,95014342,0,788637,0.00830019,46667537,11.4036,0.0208684,-0.0447145,0.00388487,5.12292e-4,-0.00159923,-8.65385e-5,-0.00102169,-4.84582e-4,3.89541e-4,3.65299e-4,cluster_2,outgroup,NA
PRJEB22939,SAMEA104363397,Passer_italiae,NA,male,Malta,Italy,NA,NA,Europe,GCA_001700915.1,Passer_domesticus,95014342,0,788770,0.00830159,46666978,11.5116,0.0209332,-0.0468225,0.0029945,0.00124971,-0.00197661,-4.58218e-4,-7.89742e-4,-5.65985e-4,1.0596e-4,5.10052e-4,cluster_2,outgroup,NA
PRJNA255814,SAMN06619716,Passer_italiae,Pitaliae_25_Guglionesi_431,male,Guglionesi,Italy,"~ 14° 54' 50""E","~ 41° 54'48.25"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,802459,0.00844566,46667721,12.4574,0.0194726,-0.00800857,-0.0321765,1.98573e-4,-0.00121861,-5.25264e-5,-8.37465e-5,-0.00122161,6.07749e-5,9.38511e-5,cluster_2,outgroup,NA
PRJEB22939,SAMEA104363399,Passer_italiae,NA,male,Malta,Italy,NA,NA,Europe,GCA_001700915.1,Passer_domesticus,95014342,0,808493,0.00850917,46666421,11.1205,0.0207092,-0.0419777,-0.0024137,7.87613e-4,-0.00155688,-6.61732e-4,-0.00136494,-2.20287e-4,7.85553e-4,-8.59675e-4,cluster_2,outgroup,NA
PRJEB27649,SAMEA4785106,Passer_hispaniolensis,KAZ14054,male,Chokpak,Kazahkstan,"70°34'18.9"" E","42°37'15.5"" N",Asia,GCA_001700915.1,Passer_domesticus,95014342,0,818612,0.00861567,37217104,12.0873,0.0222639,-0.104075,0.0808574,8.01631e-4,-2.11721e-4,-1.38625e-4,2.78758e-4,-4.76674e-4,-3.42418e-4,-6.77839e-4,cluster_1,outgroup,NA
PRJEB27649,SAMEA4785107,Passer_hispaniolensis,KAZ14055,male,Chokpak,Kazahkstan,"70°34'18.9"" E","42°37'15.5"" N",Asia,GCA_001700915.1,Passer_domesticus,95014342,0,821651,0.00864765,37217084,11.9003,0.022172999999999998,-0.101187,0.0802612,9.9009e-4,-6.2784e-4,5.21709e-4,-4.2673e-4,9.40422e-4,-0.00109156,-6.38756e-4,cluster_1,outgroup,NA
PRJNA255814,SAMN06619711,Passer_hispaniolensis,Phisp_20_Lesina_295,male,Lesina,Italy,"~ 15° 27' 03""E","~ 41° 51'30.84"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,824310,0.00867564,37217237,11.3027,0.022243,-0.100382,0.0789133,-4.89842e-4,3.47272e-4,-4.02673e-6,2.57618e-4,-5.92133e-5,-8.71221e-4,-0.00153352,cluster_1,outgroup,NA
PRJNA255814,SAMN06619704,Passer_hispaniolensis,Phisp_13_Lesina_282,male,Lesina,Italy,"~ 15° 27' 03""E","~ 41° 51'30.84"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,829366,0.00872885,37217290,11.4986,0.0221669,-0.099575,0.0802291,1.22772e-4,-7.55501e-4,-2.09898e-5,-5.04147e-5,3.32952e-4,-0.00117427,2.31065e-4,cluster_1,outgroup,NA
