BioProject,BioSample,Organism,sex,Submitter_Id,Lake,Sampling_Year,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJEB38173,SAMEA6815659,Amphilophus_astorquii,missing,Apo_cl2_d_ben_03979,CL Apoyo,2003,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,338709,0.0198787,5174994,20.9342,-0.0684615,-0.00658845,-7.35504e-4,-0.00100995,-2.30144e-4,-0.0137808,-0.0220278,0.00846212,0.00118525,0.00203179,cluster_5,outgroup,NA
PRJEB38173,SAMEA6816078,Amphilophus_xiloaensis,missing,Xil_xil_d_ben_00880,CL Xiloá,2007,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,338864,0.0198878,4631959,16.4391,0.0409743,-0.0871456,-0.0143535,0.0092901,-0.0359196,-2.60599e-5,1.92069e-4,0.00619489,-8.33221e-4,0.00315183,cluster_1,exclude,2
PRJEB38173,SAMEA6815731,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_18032,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,343622,0.0201671,4874856,17.6206,-0.0718216,-0.011389700000000001,-0.00533267,0.0041701,0.00221423,0.00633227,-0.0013648,0.00135016,0.00409962,0.0024549,cluster_5,exclude,10
PRJEB38173,SAMEA6816013,Amphilophus_amarillo,missing,Xil_ama_d_ben_07666,CL Xiloá,2014,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,343626,0.0201673,5443200,17.4416,0.0366792,-0.0499233,-0.00611086,9.30446e-5,-0.0224849,0.00129674,-0.00741854,-0.0383387,0.00884374,0.13201,cluster_9,outgroup,15
PRJEB38173,SAMEA6815765,Amphilophus_zaliosus,missing,Apo_zal_d_lim_07697,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,343829,0.0201792,4539310,17.3209,-0.0772256,-0.0133342,-0.00622907,-0.0021314,0.00574219,-0.163776,0.112581,-0.0169564,0.00365091,0.00246683,cluster_10,exclude,11
PRJEB38173,SAMEA6816028,Amphilophus_amarillo,missing,Xil_ama_d_ben_19035,CL Xiloá,2015,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,345712,0.0202897,5443346,18.6645,0.0376545,-0.0507808,-0.00452553,0.00126398,-0.0210169,-0.00132294,-0.00675764,-0.0395537,0.0253155,0.136803,cluster_9,outgroup,NA
PRJEB38173,SAMEA6815721,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_07689,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,346258,0.0203218,4874958,17.9568,-0.0756621,-0.0103182,-0.00336231,0.00771095,0.00457789,0.0446049,-0.00463293,0.00343015,-0.00151375,-0.00411487,cluster_5,exclude,10
PRJEB38173,SAMEA6816029,Amphilophus_amarillo,missing,Xil_ama_d_ben_19315,CL Xiloá,2015,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,346802,0.0203537,5442835,19.5199,0.0367871,-0.0549165,-0.00602999,0.0050481,-0.0265104,-0.0029388,-0.00788634,-0.0405805,0.0183123,0.131092,cluster_9,outgroup,NA
PRJEB38173,SAMEA6816057,Amphilophus_viridis,missing,Xil_vir_d_ben_00877,CL Xiloá,2007,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,347526,0.0203962,5509640,16.0433,0.0391029,-0.0614963,-0.00588971,0.00206339,-0.0270875,0.00314259,-0.00141303,-0.0121918,0.00325747,0.00497599,cluster_8,exclude,2
PRJEB38173,SAMEA6815719,Amphilophus_flaveolus,missing,Apo_cl5_d_ben_03972,CL Apoyo,2003,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,347550,0.0203976,4874991,18.1217,-0.074438,-0.00986575,-0.00467354,0.0093391,0.0043827,0.0408859,-0.00569628,0.00549719,0.00153352,0.00317838,cluster_5,exclude,10
PRJEB38173,SAMEA6816023,Amphilophus_amarillo,missing,Xil_ama_d_ben_17973,CL Xiloá,2015,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,350381,0.0205637,5443475,21.0951,0.0368004,-0.0521745,-0.00393589,-0.00149114,-0.019992,-9.9309e-4,-0.0024996,-0.0393155,0.0169544,0.132742,cluster_9,outgroup,NA
PRJEB38173,SAMEA6816072,Amphilophus_viridis,missing,Xil_vir_d_ben_19319,CL Xiloá,2015,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,350860,0.0205918,5512191,17.5593,0.0373125,-0.0494161,-0.00730554,0.00634429,-0.0189486,-1.12622e-4,-0.00551748,-0.0264509,0.00385,0.0577943,cluster_9,exclude,2
PRJEB38173,SAMEA6815809,Amphilophus_tolteca,missing,AsM_tol_g_mid_02366,CL As. Managua,2013,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,351043,0.0206026,5446890,28.279,0.028057,0.0661922,-0.119773,0.0305539,-0.00195611,-0.00452466,0.0084364,0.033763,-0.16734,0.00410141,cluster_3,outgroup,7
PRJEB38173,SAMEA6816077,Amphilophus_xiloaensis,missing,Xil_xil_d_ben_00874,CL Xiloá,2007,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,351591,0.0206347,4631896,16.3755,0.0414887,-0.0877454,-0.0171961,0.010183,-0.038393,0.00208045,-0.00439826,0.0019807,3.73791e-4,0.0135699,cluster_1,exclude,2
PRJEB38173,SAMEA6815692,Amphilophus_chancho,missing,Apo_cl3_d_ben_18400,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,351625,0.0206367,4285914,14.4586,-0.0782941,-0.0117558,-0.00941585,0.0070047,0.00739737,-0.0302586,-0.166222,0.00567553,-0.00854837,-0.00478186,cluster_10,exclude,10
PRJEB38173,SAMEA6815678,Amphilophus_chancho,missing,Apo_cl3_d_ben_03977,CL Apoyo,2003,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,353612,0.0207534,4283765,14.6741,-0.0783679,-0.0116365,-0.00634603,0.00780031,0.00471641,-0.0330076,-0.14379,0.00273914,-0.011962800000000001,-0.00915885,cluster_10,exclude,10
PRJEB38173,SAMEA6815662,Amphilophus_astorquii,missing,Apo_cl2_d_ben_07683,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,354688,0.0208165,5174119,19.6123,-0.0727275,-0.00798735,-0.00339096,0.00571415,0.00141955,-0.00399029,-0.0200562,0.0088072,-3.96155e-4,0.00388672,cluster_5,outgroup,NA
PRJEB38173,SAMEA6815680,Amphilophus_chancho,missing,Apo_cl3_d_ben_05664,CL Apoyo,2005,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,355916,0.0208886,4283645,14.6591,-0.0792827,-0.012183,-0.0080413,0.00855732,0.00582048,-0.0261094,-0.168148,0.00887434,-0.0106955,-0.00389128,cluster_10,exclude,10
PRJEB38173,SAMEA6815806,Amphilophus_tolteca,missing,AsM_tol_d_sho_02391,CL As. Managua,2013,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,357308,0.0209703,5446892,26.7941,0.0295045,0.064241,-0.116359,0.0300794,-0.0049131,0.00184095,0.0107152,0.0306699,-0.151743,0.0081646,cluster_3,outgroup,NA
