Organism,BioProject,BioSample,sex,Submitter_Id,Locality,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
Clupea_harengus,PRJNA642736,SAMN15398052,unknown,AAL2_CelticSea_Atlantic_Winter_rg2,Celtic Sea,GCF_900700415.1,Clupea_harengus,55155261,0,4226190,0.0766235,43477704,10.706,0.0923799,0.116046,0.0352418,-0.0772042,0.0783667,-0.0282315,-0.0920082,-0.0340112,-0.0909383,0.176735,cluster_1,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398049,unknown,AK2_Downs_Atlantic_Winter_rg2,English channel:Downs,GCF_900700415.1,Clupea_harengus,55155261,0,4236303,0.0768069,43476117,11.4177,0.0937184,0.182995,0.148696,-0.185515,0.0211821,-0.344819,-0.62085,0.506606,0.287089,-0.0931668,cluster_1,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398049,unknown,AK2_Downs_Atlantic_Winter_rg1,English channel:Downs,GCF_900700415.1,Clupea_harengus,55155261,0,4236303,0.0768069,43476117,11.4177,0.0937184,0.182995,0.148696,-0.185515,0.0211821,-0.344819,-0.62085,0.506606,0.287089,-0.0931668,cluster_1,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398040,unknown,NSSH34_Norway_Atlantic_Spring_rg2,Norway,GCF_900700415.1,Clupea_harengus,55155261,0,4316607,0.0782628,43472054,11.1703,0.0933432,-0.0636721,0.0539904,-0.121105,-0.0246331,0.0392253,0.268795,0.125602,-0.0123472,0.107755,cluster_4,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398040,unknown,NSSH34_Norway_Atlantic_Spring_rg1,Norway,GCF_900700415.1,Clupea_harengus,55155261,0,4316607,0.0782628,43472054,11.1703,0.0933432,-0.0636721,0.0539904,-0.121105,-0.0246331,0.0392253,0.268795,0.125602,-0.0123472,0.107755,cluster_4,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398053,unknown,AAL3_CelticSea_Atlantic_Winter_rg2,Celtic Sea,GCF_900700415.1,Clupea_harengus,55155261,0,4369874,0.0792286,43468140,10.4091,0.0944038,0.19886,0.173963,-0.216069,0.270446,-0.63792,0.163022,-0.410785,-0.320145,-0.216664,cluster_1,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398053,unknown,AAL3_CelticSea_Atlantic_Winter_rg1,Celtic Sea,GCF_900700415.1,Clupea_harengus,55155261,0,4369874,0.0792286,43468140,10.4091,0.0944038,0.19886,0.173963,-0.216069,0.270446,-0.63792,0.163022,-0.410785,-0.320145,-0.216664,cluster_1,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398051,unknown,AAL1_CelticSea_Atlantic_Winter_rg1,Celtic Sea,GCF_900700415.1,Clupea_harengus,55155261,0,4483138,0.0812821,43459539,9.04339,0.093479,0.131993,0.112134,0.0382808,0.0800264,-0.126728,0.213935,0.132742,0.0520635,0.817907,cluster_1,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398051,unknown,AAL1_CelticSea_Atlantic_Winter_rg2,Celtic Sea,GCF_900700415.1,Clupea_harengus,55155261,0,4483138,0.0812821,43459539,9.04339,0.093479,0.131993,0.112134,0.0382808,0.0800264,-0.126728,0.213935,0.132742,0.0520635,0.817907,cluster_1,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398048,unknown,AK1_Downs_Atlantic_Winter_rg2,English channel:Downs,GCF_900700415.1,Clupea_harengus,55155261,0,4584095,0.0831126,43466727,9.61726,0.0946037,0.172495,0.141279,-0.5633,-0.654618,0.221948,-0.0291911,-0.294441,0.0832754,0.0130171,cluster_1,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398048,unknown,AK1_Downs_Atlantic_Winter_rg1,English channel:Downs,GCF_900700415.1,Clupea_harengus,55155261,0,4584095,0.0831126,43466727,9.61726,0.0946037,0.172495,0.141279,-0.5633,-0.654618,0.221948,-0.0291911,-0.294441,0.0832754,0.0130171,cluster_1,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398041,unknown,NSSH36_Norway_Atlantic_Spring_rg2,Norway,GCF_900700415.1,Clupea_harengus,55155261,0,4590960,0.083237,43467536,8.96184,0.0921592,-0.0291659,0.0517442,-0.0850923,-8.9685e-4,-0.0230589,0.166602,0.13328,0.0110648,0.155393,cluster_4,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398041,unknown,NSSH36_Norway_Atlantic_Spring_rg1,Norway,GCF_900700415.1,Clupea_harengus,55155261,0,4590960,0.083237,43467536,8.96184,0.0921592,-0.0291659,0.0517442,-0.0850923,-8.9685e-4,-0.0230589,0.166602,0.13328,0.0110648,0.155393,cluster_4,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398050,unknown,AK3_Downs_Atlantic_Winter_rg2,English channel:Downs,GCF_900700415.1,Clupea_harengus,55155261,0,4673133,0.0847269,43471191,10.0256,0.0939025,0.494251,-0.804303,0.12932,-0.152588,-0.0969157,0.0916845,0.0516292,0.00626659,-0.0551855,cluster_2,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398050,unknown,AK3_Downs_Atlantic_Winter_rg1,English channel:Downs,GCF_900700415.1,Clupea_harengus,55155261,0,4673133,0.0847269,43471191,10.0256,0.0939025,0.494251,-0.804303,0.12932,-0.152588,-0.0969157,0.0916845,0.0516292,0.00626659,-0.0551855,cluster_2,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398046,unknown,Z12_IsleofMan_Atlantic_Autumn_rg2,Irish Sea:Isle Of Man,GCF_900700415.1,Clupea_harengus,55155261,0,4746077,0.0860494,43466408,9.52099,0.0937966,0.327703,0.355539,0.608009,-0.0950304,0.0370239,-0.0111701,-0.346218,0.445032,-0.0787666,cluster_2,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398046,unknown,Z12_IsleofMan_Atlantic_Autumn_rg1,Irish Sea:Isle Of Man,GCF_900700415.1,Clupea_harengus,55155261,0,4746077,0.0860494,43466408,9.52099,0.0937966,0.327703,0.355539,0.608009,-0.0950304,0.0370239,-0.0111701,-0.346218,0.445032,-0.0787666,cluster_2,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398039,unknown,NSSH33_Norway_Atlantic_Spring_rg2,Norway,GCF_900700415.1,Clupea_harengus,55155261,0,4765986,0.0864104,43463899,8.92083,0.093483,-0.0667398,0.0977489,-0.103743,0.0260938,-0.0354661,0.6109,0.380717,0.361806,-0.400962,cluster_4,ingroup,NA
Clupea_harengus,PRJNA642736,SAMN15398039,unknown,NSSH33_Norway_Atlantic_Spring_rg1,Norway,GCF_900700415.1,Clupea_harengus,55155261,0,4765986,0.0864104,43463899,8.92083,0.093483,-0.0667398,0.0977489,-0.103743,0.0260938,-0.0354661,0.6109,0.380717,0.361806,-0.400962,cluster_4,ingroup,NA
Clupea_pallasii,PRJNA338612,SAMN05589107,missing,PH6,Strait of Georgia (Vancouver),GCF_900700415.1,Clupea_harengus,55155261,0,20042050,0.363375,20097863,0.190706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_pallasii,PRJNA338612,SAMN05589106,missing,PH5,Strait of Georgia (Vancouver),GCF_900700415.1,Clupea_harengus,55155261,0,20043867,0.363408,20097795,0.158891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_pallasii,PRJNA338612,SAMN05589102,missing,PH1,Strait of Georgia (Vancouver),GCF_900700415.1,Clupea_harengus,55155261,0,20045800,0.363443,20097768,0.179361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_pallasii,PRJNA338612,SAMN05589105,missing,PH4,Strait of Georgia (Vancouver),GCF_900700415.1,Clupea_harengus,55155261,0,20048378,0.36349,20097800,0.150692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_pallasii,PRJNA338612,SAMN05589103,missing,PH2,Strait of Georgia (Vancouver),GCF_900700415.1,Clupea_harengus,55155261,0,20049708,0.363514,20097954,0.180649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_pallasii,PRJNA338612,SAMN05589104,missing,PH3,Strait of Georgia (Vancouver),GCF_900700415.1,Clupea_harengus,55155261,0,20057817,0.363661,20097852,0.0835287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_harengus,PRJNA338612,SAMN05589084,missing,BAH1,Bothnian Sea (Gävle),GCF_900700415.1,Clupea_harengus,55155261,0,43336351,0.785716,43563573,0.0870671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
