BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMEA3638018,u030_450,GCF_000247815.1,ERR1097530,Ficedula_albicollis,PRJEB11502
SAMEA3638004,u032_450,GCF_000247815.1,ERR1097531,Ficedula_albicollis,PRJEB11502
SAMEA3637993,u036_450,GCF_000247815.1,ERR1097534,Ficedula_albicollis,PRJEB11502
SAMEA3637992,u037_450,GCF_000247815.1,ERR1097535,Ficedula_albicollis,PRJEB11502
SAMEA3637997,u038_450,GCF_000247815.1,ERR1097536,Ficedula_albicollis,PRJEB11502
SAMEA3637996,u040_450,GCF_000247815.1,ERR1097537,Ficedula_albicollis,PRJEB11502
SAMEA3637988,u041_450,GCF_000247815.1,ERR1097538,Ficedula_albicollis,PRJEB11502
SAMEA3637991,u042_450,GCF_000247815.1,ERR1097539,Ficedula_albicollis,PRJEB11502
SAMEA3637994,u043_450,GCF_000247815.1,ERR1097540,Ficedula_albicollis,PRJEB11502
SAMEA3638027,u101_450,GCF_000247815.1,ERR1097541,Ficedula_albicollis,PRJEB11502
SAMEA3638040,u102_450,GCF_000247815.1,ERR1097542,Ficedula_albicollis,PRJEB11502
SAMEA3638057,u103_450,GCF_000247815.1,ERR1097543,Ficedula_albicollis,PRJEB11502
SAMEA3638023,u104_450,GCF_000247815.1,ERR1097544,Ficedula_albicollis,PRJEB11502
SAMEA3638063,u105_450,GCF_000247815.1,ERR1097545,Ficedula_albicollis,PRJEB11502
SAMEA3638048,u107_450,GCF_000247815.1,ERR1097547,Ficedula_albicollis,PRJEB11502
SAMEA3638053,u108_450,GCF_000247815.1,ERR1097548,Ficedula_albicollis,PRJEB11502
SAMEA3638059,u109_450,GCF_000247815.1,ERR1097549,Ficedula_albicollis,PRJEB11502
SAMEA3638067,u110_450,GCF_000247815.1,ERR1097550,Ficedula_albicollis,PRJEB11502
SAMEA3638024,u112_450,GCF_000247815.1,ERR1097552,Ficedula_albicollis,PRJEB11502
SAMEA3638038,u114_450,GCF_000247815.1,ERR1097554,Ficedula_albicollis,PRJEB11502
SAMEA3638031,u115_450,GCF_000247815.1,ERR1097555,Ficedula_albicollis,PRJEB11502
SAMEA3638045,u117_450,GCF_000247815.1,ERR1097557,Ficedula_albicollis,PRJEB11502
SAMEA3638025,u118_450,GCF_000247815.1,ERR1097558,Ficedula_albicollis,PRJEB11502
SAMEA3638054,u119_450,GCF_000247815.1,ERR1097559,Ficedula_albicollis,PRJEB11502
SAMEA3638041,u120_450,GCF_000247815.1,ERR1097560,Ficedula_albicollis,PRJEB11502
SAMEA3638033,u121_450,GCF_000247815.1,ERR1097561,Ficedula_albicollis,PRJEB11502
SAMEA3638039,u122_450,GCF_000247815.1,ERR1097562,Ficedula_albicollis,PRJEB11502
SAMEA3638037,u123_450,GCF_000247815.1,ERR1097563,Ficedula_albicollis,PRJEB11502
SAMEA3638058,u125_450,GCF_000247815.1,ERR1097564,Ficedula_albicollis,PRJEB11502
SAMEA3638032,u126_450,GCF_000247815.1,ERR1097565,Ficedula_albicollis,PRJEB11502
SAMEA3638034,u128_450,GCF_000247815.1,ERR1097566,Ficedula_albicollis,PRJEB11502
SAMEA3638029,u129_450,GCF_000247815.1,ERR1097567,Ficedula_albicollis,PRJEB11502
SAMEA3638062,u130_450,GCF_000247815.1,ERR1097568,Ficedula_albicollis,PRJEB11502
SAMEA3638066,u131_450,GCF_000247815.1,ERR1097569,Ficedula_albicollis,PRJEB11502
SAMEA3638035,u134_450,GCF_000247815.1,ERR1097572,Ficedula_albicollis,PRJEB11502
SAMEA3638044,u135_450,GCF_000247815.1,ERR1097573,Ficedula_albicollis,PRJEB11502
SAMEA3638051,u136_450,GCF_000247815.1,ERR1097574,Ficedula_albicollis,PRJEB11502
SAMEA3638046,u137_450,GCF_000247815.1,ERR1097575,Ficedula_albicollis,PRJEB11502
SAMEA3638055,u138_450,GCF_000247815.1,ERR1097576,Ficedula_albicollis,PRJEB11502
SAMEA3638026,u139_450,GCF_000247815.1,ERR1097577,Ficedula_albicollis,PRJEB11502
SAMEA3638060,u140_450,GCF_000247815.1,ERR1097578,Ficedula_albicollis,PRJEB11502
SAMEA3638022,u141_450,GCF_000247815.1,ERR1097579,Ficedula_albicollis,PRJEB11502
SAMEA3638061,u142_450,GCF_000247815.1,ERR1097580,Ficedula_albicollis,PRJEB11502
SAMEA3638050,u143_450,GCF_000247815.1,ERR1097581,Ficedula_albicollis,PRJEB11502
SAMEA3638043,u144_450,GCF_000247815.1,ERR1097582,Ficedula_albicollis,PRJEB11502
SAMEA3638028,u145_450,GCF_000247815.1,ERR1097583,Ficedula_albicollis,PRJEB11502
SAMEA3638047,u146_450,GCF_000247815.1,ERR1097584,Ficedula_albicollis,PRJEB11502
SAMEA3638036,u147_450,GCF_000247815.1,ERR1097585,Ficedula_albicollis,PRJEB11502
SAMEA3638042,u149_450,GCF_000247815.1,ERR1097586,Ficedula_albicollis,PRJEB11502
SAMEA3638065,u116_450,GCF_000247815.1,ERR1097556,Ficedula_albicollis,PRJEB11502
SAMEA3638007,u033_450,GCF_000247815.1,ERR1097532,Ficedula_albicollis,PRJEB11502
SAMEA3638064,u111_450,GCF_000247815.1,ERR1097551,Ficedula_albicollis,PRJEB11502
SAMEA3638030,u113_450,GCF_000247815.1,ERR1097553,Ficedula_albicollis,PRJEB11502
SAMEA3638015,u001_450,GCF_000247815.1,ERR1097506,Ficedula_albicollis,PRJEB11502
SAMEA3637989,u034_450,GCF_000247815.1,ERR1097533,Ficedula_albicollis,PRJEB11502
SAMEA3638006,u027_450,GCF_000247815.1,ERR1097527,Ficedula_albicollis,PRJEB11502
SAMEA3638052,u133_450,GCF_000247815.1,ERR1097571,Ficedula_albicollis,PRJEB11502
SAMEA3638056,u132_450,GCF_000247815.1,ERR1097570,Ficedula_albicollis,PRJEB11502
SAMEA3638010,u020_450,GCF_000247815.1,ERR1097520,Ficedula_albicollis,PRJEB11502
SAMEA3638049,u106_450,GCF_000247815.1,ERR1097546,Ficedula_albicollis,PRJEB11502
