BioProject	Run	Assay Type	AvgSpotLen	Bases	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	BioSampleModel	sex	Tissue	dev_stage	AGE	Ecotype	Isolation_source	disease
PRJNA431202	SRR6670201	WGS	250	21533375500	SAMN08465565	10505679114	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646876	Illumina HiSeq 2500	L8328-1_BO15-232_S17	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-232	SRP132168	Model organism or animal	missing	blood	adult	missing	B_rural_2015	Site B:rural_2015	103
PRJNA431202	SRR6670203	WGS	250	20883365500	SAMN08465563	9509911406	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646874	Illumina HiSeq 2500	L8326-1_BO15-230_S14	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-230	SRP132168	Model organism or animal	female	blood	adult	missing	B_rural_2015	Site B:rural_2015	101
PRJNA431202	SRR6670204	WGS	250	21209345750	SAMN08465572	7407227398	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646873	Illumina HiSeq 2500	L10045-1_BO17-002_S10	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO17-002	SRP132168	Model organism or animal	female	blood	adult	missing	B_rural_2016	Site B:rural_2016	110
PRJNA431202	SRR6670205	WGS	250	20468047250	SAMN08465571	7245487701	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646872	Illumina HiSeq 2500	L10044-1_BO17-001_S9	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO17-001	SRP132168	Model organism or animal	male	blood	adult	missing	B_rural_2016	Site B:rural_2016	109
PRJNA431202	SRR6670208	WGS	250	18322757000	SAMN08465595	8761519815	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646869	Illumina HiSeq 2500	L6465-1_BO15-149_S11	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-149	SRP132168	Model organism or animal	female	blood	adult	missing	C1_rural_2013	Site C1:rural_2013	133
PRJNA431202	SRR6670210	WGS	250	17470376000	SAMN08465593	7854546500	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646867	Illumina HiSeq 2500	L6462-1_BO15-146_S8	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-146	SRP132168	Model organism or animal	male	blood	adult	missing	C1_rural_2013	Site C1:rural_2013	131
PRJNA431202	SRR6670212	WGS	250	16330071750	SAMN08465599	7399357442	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646865	Illumina HiSeq 2500	L6460-1_BO15-144_S6	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-144	SRP132168	Model organism or animal	male	blood	adult	missing	C1_rural_2013	Site C1:rural_2013	137
PRJNA431202	SRR6670214	WGS	250	17592457500	SAMN08465598	7982947114	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646863	Illumina HiSeq 2500	L6463-1_BO15-147_S9	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-147	SRP132168	Model organism or animal	female	blood	adult	missing	C1_rural_2013	Site C1:rural_2013	136
PRJNA431202	SRR6670216	WGS	250	17993955250	SAMN08465549	5839717884	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646861	Illumina HiSeq 2500	L5742-1_BO15-062_GTCCGC_L008	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-062	SRP132168	Model organism or animal	male	blood	adult	missing	C3_urban_2012	Site C3:urban_2012	87
PRJNA431202	SRR6670218	WGS	200	11090597600	SAMN08465547	7451527151	MASSABOB'S SHARED SUBMISSIONS	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX3646859	Illumina HiSeq 2500	L5747-1_BO15-068_S4	PAIRED	RANDOM	GENOMIC	Athene_cunicularia	ILLUMINA	2018-04-17T00:00:00Z	BO15-068	SRP132168	Model organism or animal	male	blood	adult	missing	C3_urban_2012	Site C3:urban_2012	85
