Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	SRA Study	sex	sub_species	sample_name	ENA-FIRST-PUBLIC (run)	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE (run)	ENA-LAST-UPDATE	External_Id	INSDC_center_alias	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Submitter_Id	common_name	lat_lon	collected_by	tissue_type	geographic_location_(region_and_locality)
ERR849898	WGS	200	2761600	PRJEB9057	SAMEA3334648	1725536	UPPSALA UNIVERSITET	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930809	Illumina HiSeq 2000	DNA_379	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334648	ERP010115	missing	orientalis	DNA_379	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334648	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:17:53Z	public	DNA_379	Corvus corone orientalis X Corvus cornix	NA	NA	NA	NA
ERR849899	WGS	200	1315642200	PRJEB9057	SAMEA3334649	793428015	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930810	Illumina HiSeq 2000	DNA_380	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334649	ERP010115	missing	orientalis	DNA_380	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334649	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:17:53Z	public	DNA_380	Corvus corone orientalis X Corvus cornix	NA	NA	NA	NA
ERR849900	WGS	200	2077371000	PRJEB9057	SAMEA3334449	1290272688	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930811	Illumina HiSeq 2000	DNA_381	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334449	ERP010115	missing	NA	DNA_381	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334449	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:09:15Z	public	DNA_381	hooded crow	NA	NA	NA	NA
ERR849901	WGS	200	1910523400	PRJEB9057	SAMEA3334450	1162677314	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930812	Illumina HiSeq 2000	DNA_382	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334450	ERP010115	missing	NA	DNA_382	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334450	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:37:19Z	public	DNA_382	hooded crow	NA	NA	NA	NA
ERR849902	WGS	200	2071396000	PRJEB9057	SAMEA3334610	1246643894	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930813	Illumina HiSeq 2000	DNA_383	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334610	ERP010115	missing	orientalis	DNA_383	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334610	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:07Z	public	DNA_383	NA	NA	NA	NA	NA
ERR849903	WGS	200	1669413200	PRJEB9057	SAMEA3334650	1008284075	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930814	Illumina HiSeq 2000	DNA_384	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334650	ERP010115	missing	orientalis	DNA_384	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334650	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:17:53Z	public	DNA_384	Corvus corone orientalis X Corvus cornix	NA	NA	NA	NA
ERR849904	WGS	200	3851123000	PRJEB9057	SAMEA3334628	2266623720	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi	ena,gs.US,ncbi.public	ERX930815	Illumina HiSeq 2000	DNA_385	PAIRED	RANDOM	GENOMIC	Corvus_pectoralis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334628	ERP010115	missing	NA	DNA_385	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334628	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:16:39Z	public	DNA_385	collared crow	NA	NA	NA	NA
ERR849905	WGS	200	2114547000	PRJEB9057	SAMEA3334451	1302545759	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930816	Illumina HiSeq 2000	DNA_386	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334451	ERP010115	missing	NA	DNA_386	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334451	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:37:19Z	public	DNA_386	hooded crow	NA	NA	NA	NA
ERR849906	WGS	200	1495284000	PRJEB9057	SAMEA3334651	906416608	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930817	Illumina HiSeq 2000	DNA_387	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334651	ERP010115	missing	orientalis	DNA_387	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334651	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:17:53Z	public	DNA_387	Corvus corone orientalis X Corvus cornix	NA	NA	NA	NA
ERR849907	WGS	200	2132695800	PRJEB9057	SAMEA3334652	1288657537	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930818	Illumina HiSeq 2000	DNA_388	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334652	ERP010115	missing	orientalis	DNA_388	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334652	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:17:53Z	public	DNA_388	Corvus corone orientalis X Corvus cornix	NA	NA	NA	NA
ERR849908	WGS	200	2605436600	PRJEB9057	SAMEA3334611	1602276486	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930819	Illumina HiSeq 2000	DNA_389	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334611	ERP010115	missing	orientalis	DNA_389	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334611	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:07Z	public	DNA_389	NA	NA	NA	NA	NA
ERR849909	WGS	200	1846805200	PRJEB9057	SAMEA3334452	1140165900	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930820	Illumina HiSeq 2000	DNA_390	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334452	ERP010115	missing	NA	DNA_390	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334452	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:37:19Z	public	DNA_390	hooded crow	NA	NA	NA	NA
ERR849910	WGS	200	2033536400	PRJEB9057	SAMEA3334612	1253019746	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930821	Illumina HiSeq 2000	DNA_391	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334612	ERP010115	missing	orientalis	DNA_391	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334612	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:07Z	public	DNA_391	NA	NA	NA	NA	NA
ERR849911	WGS	200	2036022800	PRJEB9057	SAMEA3334613	1230598920	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930822	Illumina HiSeq 2000	DNA_392	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334613	ERP010115	missing	orientalis	DNA_392	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334613	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:07Z	public	DNA_392	NA	NA	NA	NA	NA
ERR849912	WGS	200	1931085000	PRJEB9057	SAMEA3334653	1156657474	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930823	Illumina HiSeq 2000	DNA_393	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334653	ERP010115	missing	orientalis	DNA_393	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334653	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:17:53Z	public	DNA_393	Corvus corone orientalis X Corvus cornix	NA	NA	NA	NA
ERR849913	WGS	200	2251455400	PRJEB9057	SAMEA3334453	1376104117	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930824	Illumina HiSeq 2000	DNA_394	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334453	ERP010115	missing	NA	DNA_394	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334453	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:10:23Z	public	DNA_394	hooded crow	NA	NA	NA	NA
ERR849914	WGS	200	2066831200	PRJEB9057	SAMEA3334454	1250610913	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930825	Illumina HiSeq 2000	DNA_395	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334454	ERP010115	missing	NA	DNA_395	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334454	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:10:24Z	public	DNA_395	hooded crow	NA	NA	NA	NA
ERR849915	WGS	200	6099099600	PRJEB9057	SAMEA3334614	4070936932	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930826	Illumina HiSeq 2000	DNA_396	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334614	ERP010115	missing	orientalis	DNA_396	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334614	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:07Z	public	DNA_396	NA	NA	NA	NA	NA
ERR849916	WGS	200	10123094600	PRJEB9057	SAMEA3334654	6408433507	UPPSALA UNIVERSITET	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930827	Illumina HiSeq 2000	DNA_397	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334654	ERP010115	missing	orientalis	DNA_397	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334654	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:17:53Z	public	DNA_397	Corvus corone orientalis X Corvus cornix	NA	NA	NA	NA
ERR849917	WGS	200	5359582000	PRJEB9057	SAMEA3334455	3593929545	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930828	Illumina HiSeq 2000	DNA_398	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334455	ERP010115	missing	NA	DNA_398	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334455	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:10:24Z	public	DNA_398	hooded crow	NA	NA	NA	NA
ERR849918	WGS	200	8325187800	PRJEB9057	SAMEA3334456	5300620056	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930829	Illumina HiSeq 2000	DNA_399	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334456	ERP010115	missing	NA	DNA_399	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334456	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:10:24Z	public	DNA_399	hooded crow	NA	NA	NA	NA
ERR849919	WGS	200	6146978000	PRJEB9057	SAMEA3334615	4053252761	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930830	Illumina HiSeq 2000	DNA_400	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334615	ERP010115	missing	orientalis	DNA_400	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334615	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:08Z	public	DNA_400	NA	NA	NA	NA	NA
ERR849920	WGS	200	13779621800	PRJEB9057	SAMEA3334655	8701929594	UPPSALA UNIVERSITET	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930831	Illumina HiSeq 2000	DNA_401	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334655	ERP010115	missing	orientalis	DNA_401	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334655	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:17:53Z	public	DNA_401	Corvus corone orientalis X Corvus cornix	NA	NA	NA	NA
ERR849921	WGS	200	18745562600	PRJEB9057	SAMEA3334629	11619144765	UPPSALA UNIVERSITET	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930832	Illumina HiSeq 2000	DNA_402	PAIRED	RANDOM	GENOMIC	Corvus_pectoralis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334629	ERP010115	missing	NA	DNA_402	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334629	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:00:47Z	public	DNA_402	collared crow	NA	NA	NA	NA
ERR849922	WGS	200	5394779800	PRJEB9057	SAMEA3334457	3608052645	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930833	Illumina HiSeq 2000	DNA_403	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334457	ERP010115	missing	NA	DNA_403	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334457	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:37:19Z	public	DNA_403	hooded crow	NA	NA	NA	NA
ERR849923	WGS	200	7097096600	PRJEB9057	SAMEA3334656	4523322986	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930834	Illumina HiSeq 2000	DNA_404	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334656	ERP010115	missing	orientalis	DNA_404	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334656	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:17:53Z	public	DNA_404	Corvus corone orientalis X Corvus cornix	NA	NA	NA	NA
ERR849924	WGS	200	8952266400	PRJEB9057	SAMEA3334657	5660091326	UPPSALA UNIVERSITET	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930835	Illumina HiSeq 2000	DNA_405	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334657	ERP010115	missing	orientalis	DNA_405	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334657	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:17:53Z	public	DNA_405	Corvus corone orientalis X Corvus cornix	NA	NA	NA	NA
ERR849925	WGS	200	6793818200	PRJEB9057	SAMEA3334616	4545411279	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930836	Illumina HiSeq 2000	DNA_406	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334616	ERP010115	missing	orientalis	DNA_406	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334616	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:08Z	public	DNA_406	NA	NA	NA	NA	NA
ERR849926	WGS	200	4404463000	PRJEB9057	SAMEA3334458	2955869839	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930837	Illumina HiSeq 2000	DNA_407	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334458	ERP010115	missing	NA	DNA_407	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334458	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:10:24Z	public	DNA_407	hooded crow	NA	NA	NA	NA
ERR849927	WGS	200	5581542800	PRJEB9057	SAMEA3334617	3750958969	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930838	Illumina HiSeq 2000	DNA_408	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334617	ERP010115	missing	orientalis	DNA_408	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334617	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:08Z	public	DNA_408	NA	NA	NA	NA	NA
ERR849928	WGS	200	4980228000	PRJEB9057	SAMEA3334618	3295804440	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930839	Illumina HiSeq 2000	DNA_409	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334618	ERP010115	missing	orientalis	DNA_409	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334618	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:08Z	public	DNA_409	NA	NA	NA	NA	NA
ERR849929	WGS	200	7654101600	PRJEB9057	SAMEA3334658	4827321259	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930840	Illumina HiSeq 2000	DNA_410	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334658	ERP010115	missing	orientalis	DNA_410	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334658	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:17:53Z	public	DNA_410	Corvus corone orientalis X Corvus cornix	NA	NA	NA	NA
ERR849930	WGS	200	10188550800	PRJEB9057	SAMEA3334459	6504313629	UPPSALA UNIVERSITET	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930841	Illumina HiSeq 2000	DNA_411	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334459	ERP010115	missing	NA	DNA_411	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334459	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:10:24Z	public	DNA_411	hooded crow	NA	NA	NA	NA
ERR849931	WGS	200	6312373000	PRJEB9057	SAMEA3334460	4181291203	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930842	Illumina HiSeq 2000	DNA_412	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334460	ERP010115	missing	NA	DNA_412	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334460	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:10:24Z	public	DNA_412	hooded crow	NA	NA	NA	NA
ERR849932	WGS	200	4362489200	PRJEB9057	SAMEA3334630	2811453604	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930843	Illumina HiSeq 2000	DNA_413	PAIRED	RANDOM	GENOMIC	Corvus_pectoralis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334630	ERP010115	missing	NA	DNA_413	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334630	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:16:39Z	public	DNA_413	collared crow	NA	NA	NA	NA
ERR849933	WGS	200	5235377800	PRJEB9057	SAMEA3334619	3406057381	UPPSALA UNIVERSITET	public	fastq,sra,unknown_contigs	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930844	Illumina HiSeq 2000	DNA_414	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334619	ERP010115	missing	orientalis	DNA_414	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334619	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:37Z	public	DNA_414	NA	NA	NA	NA	NA
ERR849934	WGS	200	10010651400	PRJEB9057	SAMEA3334620	6468268108	UPPSALA UNIVERSITET	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930845	Illumina HiSeq 2000	DNA_415	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334620	ERP010115	missing	orientalis	DNA_415	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334620	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:37Z	public	DNA_415	NA	NA	NA	NA	NA
ERR849935	WGS	200	11765428600	PRJEB9057	SAMEA3334621	7577372886	UPPSALA UNIVERSITET	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930846	Illumina HiSeq 2000	DNA_416	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334621	ERP010115	missing	orientalis	DNA_416	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334621	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T13:23:37Z	public	DNA_416	NA	NA	NA	NA	NA
ERR849936	WGS	200	8901227000	PRJEB9057	SAMEA3334659	5650402093	UPPSALA UNIVERSITET	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930847	Illumina HiSeq 2000	DNA_417	PAIRED	RANDOM	GENOMIC	Corvus_corone_orientalis	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334659	ERP010115	missing	orientalis	DNA_417	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334659	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:17:53Z	public	DNA_417	Corvus corone orientalis X Corvus cornix	NA	NA	NA	NA
ERR849937	WGS	200	5895823600	PRJEB9057	SAMEA3334461	3787801153	UPPSALA UNIVERSITET	public	fastq,sra	ena,gs,ncbi,s3	ena,gs.US,ncbi.public,s3.us-east-1	ERX930848	Illumina HiSeq 2000	DNA_418	PAIRED	RANDOM	GENOMIC	Corvus_cornix	ILLUMINA	2016-08-10T00:00:00Z	SAMEA3334461	ERP010115	missing	NA	DNA_418	2016-08-09	2016-08-09	2018-11-16	2018-03-09	SAMEA3334461	UPPSALA UNIVERSITET	UPPSALA UNIVERSITET	2016-08-09T17:01:26Z	2018-03-09T00:10:24Z	public	DNA_418	hooded crow	NA	NA	NA	NA
