Organism	BioProject	BioSample	SampleName	Sex	Isolate	Country	Continent	Locality	Ecotype
Anguilla_anguilla	PRJNA668259	SAMN16492881	SMS39	missing	SMS39	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492879	SMS37	missing	SMS37	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492869	SMS27	missing	SMS27	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492864	SMS22	missing	SMS22	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492831	ATU54	missing	ATU54	Tunisia	Africa	Tunisia:Oued Medjerda	ATU
Anguilla_anguilla	PRJNA668259	SAMN16492632	AMAR15	missing	AMAR15	Morocco	Africa	Morocco:Oued Sebou	AMAR
Anguilla_anguilla	PRJNA668259	SAMN16492829	ATU52	missing	ATU52	Tunisia	Africa	Tunisia:Oued Medjerda	ATU
Anguilla_anguilla	PRJNA668259	SAMN16492828	ATU51	missing	ATU51	Tunisia	Africa	Tunisia:Oued Medjerda	ATU
Anguilla_anguilla	PRJNA668259	SAMN16492820	ATU44	missing	ATU44	Tunisia	Africa	Tunisia:Oued Medjerda	ATU
Anguilla_anguilla	PRJNA668259	SAMN16492826	ATU4	missing	ATU4	Tunisia	Africa	Tunisia:Oued Medjerda	ATU
Anguilla_anguilla	PRJNA668259	SAMN16492815	ATU3	missing	ATU3	Tunisia	Africa	Tunisia:Oued Medjerda	ATU
Anguilla_anguilla	PRJNA668259	SAMN16492804	ATU29	missing	ATU29	Tunisia	Africa	Tunisia:Oued Medjerda	ATU
Anguilla_anguilla	PRJNA668259	SAMN16492794	ATU19	missing	ATU19	Tunisia	Africa	Tunisia:Oued Medjerda	ATU
Anguilla_anguilla	PRJNA668259	SAMN16492790	ATU15	missing	ATU15	Tunisia	Africa	Tunisia:Oued Medjerda	ATU
Anguilla_anguilla	PRJNA668259	SAMN16492601	ALI32	missing	ALI32	Lithuania	Europe	Lithuania:Curonian Lagoon	ALI
Anguilla_anguilla	PRJNA668259	SAMN16492597	ALI28	missing	ALI28	Lithuania	Europe	Lithuania:Curonian Lagoon	ALI
Anguilla_anguilla	PRJNA668259	SAMN16492584	ALI15	missing	ALI15	Lithuania	Europe	Lithuania:Curonian Lagoon	ALI
Anguilla_anguilla	PRJNA668259	SAMN16492580	ALI11	missing	ALI11	Lithuania	Europe	Lithuania:Curonian Lagoon	ALI
Anguilla_anguilla	PRJNA668259	SAMN16492573	AI145	missing	AI145	Ireland	Europe	Ireland:River Erne	AI
Anguilla_anguilla	PRJNA668259	SAMN16492572	AI144	missing	AI144	Ireland	Europe	Ireland:River Erne	AI
Anguilla_anguilla	PRJNA668259	SAMN16492563	AI135	missing	AI135	Ireland	Europe	Ireland:River Erne	AI
Anguilla_anguilla	PRJNA668259	SAMN16492553	AI125	missing	AI125	Ireland	Europe	Ireland:River Erne	AI
Anguilla_anguilla	PRJNA668259	SAMN16492537	AI109	missing	AI109	Ireland	Europe	Ireland:River Erne	AI
Anguilla_anguilla	PRJNA668259	SAMN16492534	AI106	missing	AI106	Ireland	Europe	Ireland:River Erne	AI
Anguilla_anguilla	PRJNA668259	SAMN16492533	AI105	missing	AI105	Ireland	Europe	Ireland:River Erne	AI
Anguilla_anguilla	PRJNA668259	SAMN16492529	AES8	missing	AES8	United Kingdom	Europe	United Kingdom: Severn river	AES
Anguilla_anguilla	PRJNA668259	SAMN16492510	AES17	missing	AES17	United Kingdom	Europe	United Kingdom: Severn river	AES
Anguilla_anguilla	PRJNA668259	SAMN16492452	AAF8	missing	AAF8	France	Europe	France:Arzal	AAF
Anguilla_anguilla	PRJNA668259	SAMN16492444	AAF47	missing	AAF47	France	Europe	France:Arzal	AAF
Anguilla_anguilla	PRJNA668259	SAMN16492443	AAF46	missing	AAF46	France	Europe	France:Arzal	AAF
Anguilla_anguilla	PRJNA668259	SAMN16492426	AAF30	missing	AAF30	France	Europe	France:Arzal	AAF
Anguilla_anguilla	PRJNA668259	SAMN16492416	AAF20	missing	AAF20	France	Europe	France:Arzal	AAF
Anguilla_anguilla	PRJNA668259	SAMN16492410	AAF14	missing	AAF14	France	Europe	France:Arzal	AAF
Anguilla_anguilla	PRJNA668259	SAMN16492891	SMS48	missing	SMS48	Sweden	Europe	Sweden:Motala strom	SMS
