Organism	BioProject	BioSample	SampleName	Sex	Isolate	Ecotype
Coilia_nasus	PRJNA422339	SAMN13381233	anchovy_sample25	not determined	sample25	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 623 km
Coilia_nasus	PRJNA422339	SAMN13381234	anchovy_sample26	not determined	sample26	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 624 km
Coilia_nasus	PRJNA422339	SAMN13381231	anchovy_sample23	not determined	sample23	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 621 km
Coilia_nasus	PRJNA422339	SAMN13381232	anchovy_sample24	not determined	sample24	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 622 km
Coilia_nasus	PRJNA422339	SAMN13381229	anchovy_sample21	not determined	sample21	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 619 km
Coilia_nasus	PRJNA422339	SAMN13381230	anchovy_sample22	not determined	sample22	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 620 km
Coilia_nasus	PRJNA422339	SAMN13381237	anchovy_sample29	not determined	sample29	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 618 km
Coilia_nasus	PRJNA422339	SAMN13381238	anchovy_sample30	not determined	sample30	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 619 km
Coilia_nasus	PRJNA422339	SAMN13381262	anchovy_sample54	not determined	sample54	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 625 km
Coilia_nasus	PRJNA422339	SAMN13381261	anchovy_sample53	not determined	sample53	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 624 km
Coilia_nasus	PRJNA422339	SAMN13381260	anchovy_sample52	not determined	sample52	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 623 km
Coilia_nasus	PRJNA422339	SAMN13381259	anchovy_sample51	not determined	sample51	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 622 km
Coilia_nasus	PRJNA422339	SAMN13381266	anchovy_sample58	not determined	sample58	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 620 km
Coilia_nasus	PRJNA422339	SAMN13381265	anchovy_sample57	not determined	sample57	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 619 km
Coilia_nasus	PRJNA422339	SAMN13381264	anchovy_sample56	not determined	sample56	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 618 km
Coilia_nasus	PRJNA422339	SAMN13381263	anchovy_sample55	not determined	sample55	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 626 km
Coilia_nasus	PRJNA422339	SAMN13381268	anchovy_sample60	not determined	sample60	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 622 km
Coilia_nasus	PRJNA422339	SAMN13381267	anchovy_sample59	not determined	sample59	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 621 km
Coilia_nasus	PRJNA422339	SAMN13381218	anchovy_sample10	not determined	sample10	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 626 km
Coilia_nasus	PRJNA422339	SAMN13381217	anchovy_sample9	not determined	sample9	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 625 km
Coilia_nasus	PRJNA422339	SAMN13381214	anchovy_sample6	not determined	sample6	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 622 km
Coilia_nasus	PRJNA422339	SAMN13381213	anchovy_sample5	not determined	sample5	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 621 km
Coilia_nasus	PRJNA422339	SAMN13381216	anchovy_sample8	not determined	sample8	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 624 km
Coilia_nasus	PRJNA422339	SAMN13381215	anchovy_sample7	not determined	sample7	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 623 km
Coilia_nasus	PRJNA422339	SAMN08177143	anchovy_sample1	not determined	sample1	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 618 km
Coilia_nasus	PRJNA422339	SAMN13381212	anchovy_sample4	not determined	sample4	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 620 km
Coilia_nasus	PRJNA422339	SAMN13381211	anchovy_sample3	not determined	sample3	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 619 km
Coilia_nasus	PRJNA422339	SAMN13381257	anchovy_sample49	not determined	sample49	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 620 km
Coilia_nasus	PRJNA422339	SAMN13381258	anchovy_sample50	not determined	sample50	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 621 km
Coilia_nasus	PRJNA422339	SAMN13381253	anchovy_sample45	not determined	sample45	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 625 km
Coilia_nasus	PRJNA422339	SAMN13381254	anchovy_sample46	not determined	sample46	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 626 km
Coilia_nasus	PRJNA422339	SAMN13381255	anchovy_sample47	not determined	sample47	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 618 km
Coilia_nasus	PRJNA422339	SAMN13381256	anchovy_sample48	not determined	sample48	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 619 km
Coilia_nasus	PRJNA422339	SAMN13381249	anchovy_sample41	not determined	sample41	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 621 km
Coilia_nasus	PRJNA422339	SAMN13381251	anchovy_sample43	not determined	sample43	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 623 km
Coilia_nasus	PRJNA422339	SAMN13381252	anchovy_sample44	not determined	sample44	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 624 km
Coilia_nasus	PRJNA422339	SAMN13381288	anchovy_sample80	not determined	sample80	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 624 km
Coilia_nasus	PRJNA422339	SAMN13381287	anchovy_sample79	not determined	sample79	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 623 km
Coilia_nasus	PRJNA422339	SAMN13381280	anchovy_sample72	not determined	sample72	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 625 km
Coilia_nasus	PRJNA422339	SAMN13381279	anchovy_sample71	not determined	sample71	along the Yellow Sea\, the Yangtze River and the Poyang Lake in a wide range of 624 km
