BioSample,refGenome,Organism,lat,long
SAMEA1877511,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA1904323,GCF_900246225.1,Astatotilapia_calliptera,NA,NA
SAMEA1904326,GCF_900246225.1,Astatotilapia_calliptera,NA,NA
SAMEA1904327,GCF_900246225.1,Astatotilapia_calliptera,NA,NA
SAMEA1904328,GCF_900246225.1,Astatotilapia_calliptera,NA,NA
SAMEA1904833,GCF_900246225.1,Astatotilapia_calliptera,NA,NA
SAMEA1920090,GCF_900246225.1,Astatotilapia_calliptera,NA,NA
SAMEA1920091,GCF_900246225.1,Astatotilapia_calliptera,NA,NA
SAMEA1920092,GCF_900246225.1,Astatotilapia_calliptera,NA,NA
SAMEA2338539,GCA_000180675.1,Gasterosteus_aculeatus,54.26361846923828,10.040130615234375
SAMEA2338540,GCA_000180675.1,Gasterosteus_aculeatus,50.604557037353516,-127.26174926757812
SAMEA2338541,GCA_000180675.1,Gasterosteus_aculeatus,54.28386688232422,9.948807716369629
SAMEA2338542,GCA_000180675.1,Gasterosteus_aculeatus,60.24488067626953,5.915387153625488
SAMEA2338543,GCA_000180675.1,Gasterosteus_aculeatus,60.255367279052734,5.926577091217041
SAMEA2338544,GCA_000180675.1,Gasterosteus_aculeatus,61.57609939575195,-149.77374267578125
SAMEA2338545,GCA_000180675.1,Gasterosteus_aculeatus,54.156002044677734,10.430144309997559
SAMEA2338546,GCA_000180675.1,Gasterosteus_aculeatus,54.156002044677734,10.430144309997559
SAMEA2338547,GCA_000180675.1,Gasterosteus_aculeatus,50.604557037353516,-127.26174926757812
SAMEA2338548,GCA_000180675.1,Gasterosteus_aculeatus,50.604557037353516,-127.26174926757812
SAMEA2338549,GCA_000180675.1,Gasterosteus_aculeatus,54.28386688232422,9.948807716369629
SAMEA2338550,GCA_000180675.1,Gasterosteus_aculeatus,61.56909942626953,-149.75999450683594
SAMEA2338551,GCA_000180675.1,Gasterosteus_aculeatus,60.24488067626953,5.915387153625488
SAMEA2338552,GCA_000180675.1,Gasterosteus_aculeatus,54.20418930053711,10.561638832092285
SAMEA2338553,GCA_000180675.1,Gasterosteus_aculeatus,60.24488067626953,5.915387153625488
SAMEA2338554,GCA_000180675.1,Gasterosteus_aculeatus,50.60289001464844,-127.25230407714844
SAMEA2338555,GCA_000180675.1,Gasterosteus_aculeatus,60.255367279052734,5.926577091217041
SAMEA2338556,GCA_000180675.1,Gasterosteus_aculeatus,50.60289001464844,-127.25230407714844
SAMEA2338557,GCA_000180675.1,Gasterosteus_aculeatus,54.156002044677734,10.430144309997559
SAMEA2338558,GCA_000180675.1,Gasterosteus_aculeatus,50.604557037353516,-127.26174926757812
